diputado_id,diputado_nombre,modal_party,modal_party_share,modal_caucus,modal_caucus_share,modal_alignment,modal_alignment_share,specs_estimated,baseline_coord_aligned,baseline_z,baseline_binary_votes,max_abs_z_shift_from_baseline,sd_z_across_specs,min_rank,max_rank,rank_range,coord_raw_lop025,z_raw_lop025,rank_raw_lop025,coord_raw_lop050,z_raw_lop050,rank_raw_lop050,coord_raw_lop100,z_raw_lop100,rank_raw_lop100,coord_dedup_lop025,z_dedup_lop025,rank_dedup_lop025,coord_cap20_balanced_lop025,z_cap20_balanced_lop025,rank_cap20_balanced_lop025,coord_cap10_balanced_lop025,z_cap10_balanced_lop025,rank_cap10_balanced_lop025
1082,Cristóbal Urruticoechea Ríos,Partido Nacional Libertario,1.0,Comité Partido Nacional Libertarios,1.0,no_alineado,1.0,6,-0.999343276023865,-1.0939607235363524,239,0.19988063644419407,0.1251773253564993,1,37,36,-0.999343276023865,-1.0939607235363524,5,-0.992441773414612,-1.0673002785186148,22,-0.871163487434387,-0.944231618684701,37,-1.0,-1.0946641097806653,1,-1.0,-1.2918309216475796,1,-1.0,-1.2938413599805465,1
1248,Felipe Ross Correa,Partido Republicano,1.0,Comité Partido Republicano,1.0,oficialismo,1.0,6,-1.0,-1.0948583202932214,265,0.19898303968732511,0.09275511124780174,4,7,3,-1.0,-1.0948583202932214,4,-1.0,-1.0776878334498556,4,-1.0,-1.1267591782117723,5,-1.0,-1.0946641097806653,4,-1.0,-1.2918309216475796,7,-1.0,-1.2938413599805465,6
1223,Hans Marowski Cuevas,Partido Nacional Libertario,1.0,Comité Partido Nacional Libertarios,1.0,no_alineado,1.0,6,-1.0,-1.0948583202932214,256,0.19898303968732511,0.12006386763858341,2,34,32,-1.0,-1.0948583202932214,2,-1.0,-1.0776878334498556,3,-0.883264422416687,-0.9613754708918936,34,-1.0,-1.0946641097806653,3,-1.0,-1.2918309216475796,5,-1.0,-1.2938413599805465,4
1228,Paulina Muñoz Minte,Partido Nacional Libertario,1.0,Comité Partido Nacional Libertarios,1.0,no_alineado,1.0,6,-1.0,-1.0948583202932214,274,0.19898303968732511,0.12507322307014826,3,38,35,-1.0,-1.0948583202932214,3,-0.993315994739532,-1.0685017537498844,14,-0.871057152748108,-0.9440809703134196,38,-0.999947965145111,-1.09459282216125,5,-1.0,-1.2918309216475796,6,-1.0,-1.2938413599805465,5
1240,Zandra Parisi Fernández,Partido de la Gente,1.0,Comité Partido de la Gente,1.0,no_alineado,1.0,6,-0.109291799366474,0.12254323844152144,209,0.19853091982270593,0.09759807693990145,80,84,4,-0.109291799366474,0.12254323844152144,80,-0.138818755745888,0.10586592474761357,80,-0.149104997515678,0.07873594987273265,80,-0.0994845107197762,0.13903982990539077,80,0.158483684062958,0.30854586230108844,84,0.0992106795310974,0.32107415826422736,83
1217,Pier Karlezi Hazleby,Partido Nacional Libertario,1.0,Comité Partido Nacional Libertarios,1.0,no_alineado,1.0,6,-1.0,-1.0948583202932214,258,0.19242082977920827,0.11489000982374768,1,32,31,-1.0,-1.0948583202932214,1,-1.0,-1.0776878334498556,2,-0.885711669921875,-0.964842578979387,32,-1.0,-1.0946641097806653,2,-0.996705055236816,-1.2872791500724297,8,-0.989476323127747,-1.2783804029443169,8
1230,Alex Nahuelquin Nahuelquin,Partido de la Gente,1.0,Comité Partido de la Gente,1.0,no_alineado,1.0,6,-0.0841939747333527,0.15684642640754795,257,0.19018199318132098,0.08778501003357175,80,86,6,-0.0841939747333527,0.15684642640754795,81,-0.114566415548325,0.13919682759463314,81,-0.127200827002525,0.10976841658277743,81,-0.0748839229345322,0.17274257286820935,83,0.153368100523949,0.3014789857927654,80,0.116876743733883,0.34702841958886893,86
1073,Juan Santana Castillo,Partido Socialista,1.0,"Socialista, Liberal, Radical e Independientes",1.0,oposicion,1.0,6,0.762329995632172,1.3138578924480717,250,0.18754025255458884,0.07808185621440294,137,143,6,0.762329995632172,1.3138578924480717,138,0.738173365592957,1.3111491656978589,137,0.764348149299622,1.3728595667752697,138,0.75796777009964,1.313747283061177,137,1.0,1.4710509487917718,143,0.902611672878265,1.5013981450026606,142
1099,Jaime Araya Guerrero,Independientes,1.0,Partido Por la Democracia e Independientes,1.0,oposicion,1.0,6,0.434719085693359,0.8660860720759868,230,0.17519544180407243,0.06473873111117373,110,113,3,0.434719085693359,0.8660860720759868,113,0.400907307863235,0.8476317437825812,113,0.348364621400833,0.7835199716650793,113,0.428384870290756,0.8622195450181879,113,0.478314340114594,0.7503730229089829,112,0.350930482149124,0.6908906302719143,110
1205,Carlos Cuadrado Prats,Partido Por la Democracia,1.0,Partido Por la Democracia e Independientes,1.0,oposicion,1.0,6,0.476959764957428,0.9238197594289449,242,0.17160537160555844,0.06213793750517982,113,114,1,0.476959764957428,0.9238197594289449,114,0.445052415132523,0.9083020242411964,114,0.390826225280762,0.8436769316407041,114,0.472031801939011,0.9220157308369351,114,0.533885478973389,0.827141268945299,113,0.392671197652817,0.7522143878233865,113
