"spec_id","vote_id","boletin","fecha","minority_share_binary","binary_participation_share","spread_1d","midpoint_1d","gmp","apre"
"raw_lop100","89935","17914-13","2026-09-01",0.142857,0.812903,1.31610369682312,0.468569546937943,0.955764770507812,0.888888888888889
"raw_lop100","89936","17914-13","2026-09-01",0.48227,0.909677,-0.886522650718689,-0.392735809087753,0.964582324028015,0.985294117647059
"raw_lop100","89937","15295-07","2026-09-01",0.105263,0.735484,1.30801427364349,0.518641829490662,0.949381709098816,0.916666666666667
"dedup_lop025","88450","15347-07","2026-03-23",0.084507,0.916129,1.59925961494446,0.752626299858093,0.919075965881348,0.333333333333333
"dedup_lop025","88451","15347-07","2026-03-23",0.2,0.903226,1.55540215969086,0.626170814037323,0.951048195362091,0.964285714285714
"dedup_lop025","88452","15347-07","2026-03-23",0.183099,0.916129,1.58223056793213,0.632569313049316,0.948446869850159,0.961538461538462
"dedup_lop025","88453","15347-07","2026-03-23",0.177305,0.909677,1.58638000488281,0.634282231330872,0.950376152992249,0.96
"dedup_lop025","88454","15347-07","2026-03-23",0.190141,0.916129,1.58108389377594,0.631723582744598,0.946710050106049,0.962962962962963
"dedup_lop025","88455","15347-07","2026-03-23",0.174825,0.922581,1.59677016735077,0.643078565597534,0.931179881095886,0.88
"dedup_lop025","88474","17474-06","2026-03-24",0.335664,0.922581,1.27234601974487,0.272346049547195,0.923113465309143,0.854166666666667
"dedup_lop025","88475","17474-06","2026-03-24",0.351562,0.825806,0.538435935974121,0.190499767661095,0.89433741569519,0.888888888888889
"dedup_lop025","88477","16487-12","2026-03-24",0.486301,0.941935,-1.57139670848846,-0.65615051984787,0.962569892406464,1
"dedup_lop025","88489","18137-05","2026-03-24",0.026786,0.722581,1.54823160171509,0.548231542110443,0.988341569900513,1
"dedup_lop025","88493","18137-05","2026-03-24",0.356643,0.922581,0.273624509572983,0.204779416322708,0.748739659786224,0.431372549019608
"dedup_lop025","88502","10634-29","2026-03-25",0.137681,0.890323,-0.319999933242798,-1,0.721701920032501,0
"dedup_lop025","88503","10634-29","2026-03-25",0.094203,0.890323,-0.440000057220459,-1,0.752527356147766,0
"dedup_lop025","88504","10634-29","2026-03-25",0.052239,0.864516,-1,-1,0.820082128047943,0
"dedup_lop025","88506","10634-29","2026-03-25",0.118881,0.922581,-0.370000004768372,-1,0.729681789875031,0
"dedup_lop025","88507","10634-29","2026-03-25",0.111888,0.922581,-0.400000095367432,-1,0.737667977809906,0
"dedup_lop025","88544","16569-25","2026-04-06",0.114286,0.903226,-0.377658635377884,0.894094884395599,0.813223421573639,0.6875
"dedup_lop025","88613","17170-07","2026-04-13",0.067797,0.76129,1.59609794616699,0.670880198478699,0.939886450767517,0.5
"dedup_lop025","88614","17170-07","2026-04-13",0.051724,0.748387,1.59771478176117,0.656480610370636,0.952508866786957,0.666666666666667
"dedup_lop025","88633","17354-37","2026-04-14",0.162963,0.870968,1.59153640270233,0.641826391220093,0.931511223316193,0.863636363636364
"dedup_lop025","88634","17690-07","2026-04-14",0.453237,0.896774,0.428609102964401,-0.193881988525391,0.871792793273926,0.904761904761905
"dedup_lop025","88646","17757-29","2026-04-15",0.262411,0.909677,-1.59338414669037,-0.830952286720276,0.860233068466187,0.702702702702703
"dedup_lop025","88647","17522-12","2026-04-15",0.388889,0.812903,-1.54877626895905,-0.728663265705109,0.952853322029114,0.938775510204082
"dedup_lop025","88648","17522-12","2026-04-15",0.421875,0.825806,-1.60029780864716,-0.617497086524963,0.982421636581421,0.981481481481482
"dedup_lop025","88680","18156-04","2026-04-21",0.294521,0.941935,0.263265758752823,0.363817125558853,0.729555606842041,0.534883720930233
"dedup_lop025","88681","18156-04","2026-04-21",0.5,0.954839,-1.60139775276184,-0.61859118938446,0.970601081848145,0.986486486486487
"dedup_lop025","88682","18156-04","2026-04-21",0.359712,0.896774,0.293886721134186,0.111326597630978,0.777651369571686,0.52
"dedup_lop025","88683","18156-04","2026-04-21",0.441176,0.877419,-0.56042754650116,-0.340183854103088,0.914373695850372,0.966666666666667
"dedup_lop025","88684","18156-04","2026-04-21",0.362963,0.870968,0.343266725540161,0.0501001067459583,0.820849895477295,0.63265306122449
"dedup_lop025","88685","18156-04","2026-04-21",0.426471,0.877419,-1.10827827453613,0.108278319239616,0.955677330493927,0.96551724137931
"dedup_lop025","88686","18156-04","2026-04-21",0.472973,0.954839,-0.422564476728439,-0.229970410466194,0.871483027935028,0.942857142857143
"dedup_lop025","88687","18156-04","2026-04-21",0.483221,0.96129,-0.734135091304779,-0.256624966859818,0.954275786876678,0.986111111111111
"dedup_lop025","88688","18156-04","2026-04-21",0.312,0.806452,-1.38634324073792,0.38634330034256,0.97273576259613,0.974358974358974
"dedup_lop025","88689","18156-04","2026-04-21",0.364286,0.903226,-0.60480523109436,0.141732960939407,0.886055827140808,0.901960784313726
"dedup_lop025","88690","18156-04","2026-04-21",0.402685,0.96129,-1.17999541759491,0.17999541759491,0.940866112709045,0.95
"dedup_lop025","88691","18156-04","2026-04-21",0.385135,0.954839,-1.20762896537781,0.207628920674324,0.933731496334076,0.929824561403509
"dedup_lop025","88692","18156-04","2026-04-21",0.471831,0.916129,-0.35588327050209,-0.379112929105759,0.819316565990448,0.880597014925373
"dedup_lop025","88693","18156-04","2026-04-21",0.324138,0.935484,1.32380068302155,0.323800653219223,0.932892858982086,0.914893617021277
"dedup_lop025","88694","18156-04","2026-04-21",0.348993,0.96129,-1.28687524795532,0.286875188350677,0.936914563179016,0.961538461538462
"dedup_lop025","88695","18156-04","2026-04-21",0.357143,0.903226,0.324625670909882,0.129731804132462,0.796309292316437,0.54
"dedup_lop025","88696","18156-04","2026-04-21",0.389262,0.96129,-1.20804297924042,0.208042964339256,0.939083218574524,0.96551724137931
"dedup_lop025","88697","18156-04","2026-04-21",0.430657,0.883871,-1.13253736495972,0.132537424564362,0.960788309574127,0.966101694915254
"dedup_lop025","88698","18156-04","2026-04-21",0.47651,0.96129,-0.594900190830231,-0.217672854661942,0.930043876171112,0.971830985915493
"dedup_lop025","88700","18156-04","2026-04-21",0.352941,0.877419,0.799444794654846,0.297435194253922,0.885450065135956,0.9375
"dedup_lop025","88701","18156-04","2026-04-21",0.486486,0.954839,-0.67569375038147,-0.322780668735504,0.946244776248932,0.972222222222222
"dedup_lop025","88702","18156-04","2026-04-21",0.395833,0.929032,0.338851571083069,0.0628725290298462,0.804514169692993,0.649122807017544
"dedup_lop025","88703","18156-04","2026-04-21",0.409396,0.96129,-1.17460668087006,0.174606710672379,0.949679374694824,1
"dedup_lop025","88704","18156-04","2026-04-21",0.409396,0.96129,-0.648229956626892,0.107010029256344,0.887908458709717,0.918032786885246
"dedup_lop025","88705","18156-04","2026-04-21",0.416107,0.96129,-0.356855124235153,0.0214905813336372,0.814206719398499,0.693548387096774
"dedup_lop025","88706","18156-04","2026-04-21",0.439189,0.954839,0.348581701517105,-0.0792071521282196,0.81864732503891,0.830769230769231
"dedup_lop025","88707","18156-04","2026-04-21",0.489796,0.948387,-1.42752194404602,-0.427521884441376,0.989027798175812,0.986111111111111
"dedup_lop025","88755","18016-13","2026-05-05",0.320896,0.864516,-1.59645235538483,-0.754937589168549,0.902273118495941,0.813953488372093
"dedup_lop025","88756","17381-03","2026-05-05",0.472222,0.929032,-1.60328841209412,-0.620471894741058,0.978289365768433,0.985294117647059
"dedup_lop025","88757","17381-03","2026-05-05",0.468966,0.935484,-1.58327639102936,-0.656582891941071,0.957945942878723,0.970588235294118
"dedup_lop025","88758","17471-07","2026-05-05",0.204545,0.851613,-0.110000014305115,1,0.523526608943939,-0.037037037037037
"dedup_lop025","88759","17872-33","2026-05-05",0.454545,0.922581,-0.887181043624878,-0.531080842018127,0.94610857963562,0.953846153846154
"dedup_lop025","88760","17872-33","2026-05-05",0.47482,0.896774,-1.60157155990601,-0.618764162063599,0.97922271490097,0.984848484848485
"dedup_lop025","88761","17405-07","2026-05-05",0.359375,0.825806,0.340709686279297,0.243519574403763,0.804057657718658,0.826086956521739
"dedup_lop025","88794","18107-07","2026-05-06",0.5,0.941935,0.642602026462555,-0.322773486375809,0.944618582725525,0.972602739726027
"dedup_lop025","88812","14309-04","2026-05-11",0.482014,0.896774,-1.51016449928284,-0.510164499282837,0.98433381319046,0.985074626865672
"dedup_lop025","88813","14309-04","2026-05-11",0.417266,0.896774,-0.363082647323608,0.00419957563281059,0.828133463859558,0.741379310344828
"dedup_lop025","88826","17112-19","2026-05-12",0.271605,0.522581,-0.144825756549835,0.0766895711421967,0.617340385913849,0.363636363636364
"dedup_lop025","88870","18155-25","2026-05-13",0.133333,0.774194,1.57682085037231,0.628721594810486,0.947726786136627,0.75
"dedup_lop025","88871","18155-25","2026-05-13",0.376923,0.83871,0.359244793653488,0.0901701003313065,0.837916791439056,0.693877551020408
"dedup_lop025","88872","15258-25","2026-05-13",0.117647,0.767742,1.60144209861755,0.610525071620941,0.974685847759247,0.857142857142857
"dedup_lop025","88893","18216-05","2026-05-20",0.395973,0.96129,1.19281303882599,0.192813083529472,0.945465505123138,0.966101694915254
"dedup_lop025","88894","18216-05","2026-05-20",0.443709,0.974194,0.659049272537231,-0.0177976470440626,0.914296209812164,0.925373134328358
"dedup_lop025","88897","18216-05","2026-05-20",0.418301,0.987097,0.682739794254303,0.0849495157599449,0.901602029800415,0.921875
"dedup_lop025","88898","18216-05","2026-05-20",0.454545,0.993548,1.04655039310455,-0.0465504489839077,0.966812133789062,0.971428571428571
"dedup_lop025","88899","18216-05","2026-05-20",0.437908,0.987097,-0.842970609664917,0.0271745547652245,0.92858350276947,0.91044776119403
"dedup_lop025","88900","18216-05","2026-05-20",0.5,0.993548,1.51994895935059,-0.519948959350586,0.984042644500732,0.987012987012987
"dedup_lop025","88901","18216-05","2026-05-20",0.437908,0.987097,0.648943781852722,0.0095276003703475,0.909851789474487,0.955223880597015
"dedup_lop025","88902","18216-05","2026-05-20",0.363636,0.993548,0.438138604164124,0.228491365909576,0.824115872383118,0.696428571428571
"dedup_lop025","88903","18216-05","2026-05-20",0.403974,0.974194,0.506542086601257,0.11066959798336,0.868482768535614,0.868852459016393
"dedup_lop025","88904","18216-05","2026-05-20",0.292517,0.948387,0.907973349094391,-0.841056823730469,0.791633605957031,0.674418604651163
"dedup_lop025","88905","18216-05","2026-05-20",0.428571,0.993548,0.811605036258698,0.0676717609167099,0.91588419675827,0.939393939393939
"dedup_lop025","88906","18216-05","2026-05-20",0.427632,0.980645,0.573969662189484,0.0424466170370579,0.894692361354828,0.907692307692308
"dedup_lop025","88907","18216-05","2026-05-20",0.46,0.967742,1.08723676204681,-0.0872367769479752,0.973910450935364,0.971014492753623
"dedup_lop025","88908","18216-05","2026-05-20",0.411765,0.987097,0.677120327949524,0.109022632241249,0.896420240402222,0.920634920634921
"dedup_lop025","88909","18216-05","2026-05-20",0.464052,0.987097,0.92587810754776,-0.076722539961338,0.951165735721588,0.943661971830986
"dedup_lop025","88910","18216-05","2026-05-20",0.448276,0.935484,-0.680671036243439,-0.532304048538208,0.917909145355225,0.907692307692308
"dedup_lop025","88911","18216-05","2026-05-20",0.369231,0.83871,-0.794862270355225,-0.673681318759918,0.907902359962463,0.895833333333333
"dedup_lop025","88912","18216-05","2026-05-20",0.375,0.980645,1.21477127075195,0.21477122604847,0.911443173885345,0.894736842105263
"dedup_lop025","88913","18216-05","2026-05-20",0.443709,0.974194,-0.578856885433197,0.00588368950411677,0.899236798286438,0.925373134328358
