spec_id,group_type,group,n_members,mean_coord,median_coord,q25_coord,q75_coord,min_coord,max_coord,mean_z
raw_lop025,alignment,oficialismo,68,-0.8834693186423358,-0.890614151954651,-0.991731137037277,-0.7833244800567625,-1.0,-0.616479396820068,-0.9355865935657262
raw_lop025,alignment,oposicion,64,0.5958964452147484,0.6341493427753451,0.343605719506741,0.7624825686216357,0.199255913496017,1.0,1.0863799557233222
raw_lop050,party,Evolución Política,2,-0.7683828175067905,-0.7683828175067905,-0.7797921448946002,-0.7569734901189807,-0.79120147228241,-0.745564162731171,-0.7593676324097385
raw_lop050,party,Federación Regionalista Verde Social,1,0.174790114164352,0.174790114164352,0.174790114164352,0.174790114164352,0.174790114164352,0.174790114164352,0.536870384102516
raw_lop050,party,Frente Amplio,15,0.7136748512585958,0.726286649703979,0.706274718046188,0.738279342651367,0.626721501350403,0.743838846683502,1.277479936480261
raw_lop050,party,Independientes,25,-0.05361321032047277,0.249597981572151,-0.805331230163574,0.400907307863235,-0.993664920330048,0.99611622095108,0.22296710894126118
raw_lop050,party,Partido Acción Humanista,1,0.95000833272934,0.95000833272934,0.95000833272934,0.95000833272934,0.95000833272934,0.95000833272934,1.6022819245041144
raw_lop050,party,Partido Comunista,8,0.9843213111162188,0.986379981040955,0.982178747653961,0.986379981040955,0.969006896018982,1.0,1.6494395406223257
raw_lop050,party,Partido Demócrata Cristiano,7,0.2191529486860547,0.208469375967979,0.196424908936024,0.23734100908041,0.162612900137901,0.295456528663635,0.5978398953091031
raw_lop050,party,Partido Demócratas Chile,1,-0.707957565784454,-0.707957565784454,-0.707957565784454,-0.707957565784454,-0.707957565784454,-0.707957565784454,-0.6763229374129942
raw_lop050,party,Partido Liberal de Chile,2,0.265838600695133,0.265838600695133,0.24579669162630996,0.285880509763956,0.225754782557487,0.305922418832779,0.6620017419098165
raw_lop050,party,Partido Nacional Libertario,8,-0.9700852409005165,-0.992878884077072,-1.0,-0.9688684791326525,-1.0,-0.87295526266098,-1.036574855439714
raw_lop050,party,Partido Por la Democracia,4,0.38503026962280273,0.366205170750618,0.36396820098161725,0.3872672393918035,0.362658321857452,0.445052415132523,0.8258113332663441
raw_lop050,party,Partido Radical de Chile,1,0.297429651021957,0.297429651021957,0.297429651021957,0.297429651021957,0.297429651021957,0.297429651021957,0.7054185099701822
raw_lop050,party,Partido Republicano,28,-0.9884456161941801,-0.9929369688034055,-0.993664920330048,-0.9874424785375597,-1.0,-0.949111700057983,-1.061808209423814
raw_lop050,party,Partido Social Cristiano,3,-0.726995845635732,-0.738101422786713,-0.7407694160938265,-0.718775063753128,-0.74343740940094,-0.699448704719543,-0.7024879611149577
raw_lop050,party,Partido Socialista,10,0.5864377260208131,0.5666395723819735,0.5390074998140337,0.6076559126377108,0.478686034679413,0.738173365592957,1.1026131720654708
raw_lop050,party,Partido de la Gente,14,-0.09766540350392462,-0.1039483062922955,-0.13275567069649727,0.0320822766516358,-0.484225213527679,0.136965155601501,0.16242452380371167
raw_lop050,party,Renovación Nacional,11,-0.7843177264386957,-0.777200639247894,-0.809951663017273,-0.760876476764679,-0.845786154270172,-0.73786449432373,-0.7812675767927884
raw_lop050,party,Unión Demócrata Independiente,13,-0.8857648876997143,-0.889388263225555,-0.905059099197388,-0.872682809829712,-0.957984745502472,-0.799405753612518,-0.9206902241972112
raw_lop050,caucus,Comité Comunista e Independientes,12,0.96105561653773,0.9853578209877015,0.9642572551965716,0.986379981040955,0.818554103374481,1.0,1.6174646219403768
raw_lop050,caucus,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",10,0.2088208466768264,0.200418956577778,0.18121165037155176,0.228669684380293,0.162612900137901,0.295456528663635,0.583640099105119
raw_lop050,caucus,Comité Partido Nacional Libertarios,8,-0.9700852409005165,-0.992878884077072,-1.0,-0.9688684791326525,-1.0,-0.87295526266098,-1.036574855439714
raw_lop050,caucus,Comité Partido Republicano,31,-0.9886197293958356,-0.993009507656097,-0.993664920330048,-0.9872927963733675,-1.0,-0.949111700057983,-1.0620474997422529
raw_lop050,caucus,Comité Partido de la Gente,13,-0.06793003350209736,-0.101494334638119,-0.114566415548325,0.0476491674780846,-0.434691488742828,0.136965155601501,0.2032909606332048
raw_lop050,caucus,Frente Amplio,17,0.709371079416836,0.72193056344986,0.69428288936615,0.738263487815857,0.626721501350403,0.743838846683502,1.2715651010472726
raw_lop050,caucus,Fuera del Comité Partido de la Gente,1,-0.484225213527679,-0.484225213527679,-0.484225213527679,-0.484225213527679,-0.484225213527679,-0.484225213527679,-0.36883915497969866
raw_lop050,caucus,Partido Por la Democracia e Independientes,10,0.3490776658058166,0.34888476133346547,0.30826219171285624,0.3671053424477575,0.291112124919891,0.445052415132523,0.7764003182814163
raw_lop050,caucus,Por definir,3,-0.726995845635732,-0.738101422786713,-0.7407694160938265,-0.718775063753128,-0.74343740940094,-0.699448704719543,-0.7024879611149577
raw_lop050,caucus,"Renovación Nacional, Evopoli e Independientes",16,-0.7846551090478896,-0.7788482308387754,-0.8115207701921462,-0.7523234635591508,-0.876932322978973,-0.707957565784454,-0.7817312543957624
raw_lop050,caucus,"Socialista, Liberal, Radical e Independientes",15,0.5005317767461142,0.548982322216034,0.392304226756096,0.574104577302933,0.225754782557487,0.738173365592957,0.9845493965316069
raw_lop050,caucus,Unión Demócrata Independiente,18,-0.8560581041706934,-0.8795664310455324,-0.9002421051263813,-0.8204404413700107,-0.957984745502472,-0.628248453140259,-0.8798630748319418
raw_lop050,alignment,no_alineado,22,-0.41490898073904897,-0.19134362787008302,-0.9688684791326525,-0.06230071187019352,-1.0,0.136965155601501,-0.27357525046662495
raw_lop050,alignment,oficialismo,68,-0.8939959818826003,-0.9228391051292419,-0.9924500733613968,-0.797354683279991,-1.0,-0.628248453140259,-0.9320025263626744
raw_lop050,alignment,oposicion,64,0.5731083988212049,0.5982086658477785,0.3054910823702812,0.7382714152336121,0.162612900137901,1.0,1.084294176608244
raw_lop100,party,Evolución Política,2,-0.7085354924201965,-0.7085354924201965,-0.7225127816200257,-0.6945582032203672,-0.736490070819855,-0.680580914020538,-0.7138303880894254
raw_lop100,party,Federación Regionalista Verde Social,1,0.134998619556427,0.134998619556427,0.134998619556427,0.134998619556427,0.134998619556427,0.134998619556427,0.48123628804802787
raw_lop100,party,Frente Amplio,15,0.7501519918441774,0.747468948364258,0.7168994843959811,0.767008572816849,0.619279265403748,0.916219770908356,1.3527473336559144
raw_lop100,party,Independientes,25,-0.04957673907279957,0.206175461411476,-0.726696252822876,0.348364621400833,-1.0,0.987358629703522,0.2197413974418481
raw_lop100,party,Partido Acción Humanista,1,0.835838317871094,0.835838317871094,0.835838317871094,0.835838317871094,0.835838317871094,0.835838317871094,1.474142392114742
raw_lop100,party,Partido Comunista,8,0.9701450616121293,0.970765292644501,0.970765292644501,0.971610188484192,0.933936953544617,1.0,1.6644198350142794
