"spec_id","diputado_id","diputado_nombre","binary_votes_selected","included_by_minvotes","dimension_1_raw","se_1d","gmp","correctly_classified","dimension_1_aligned"
"raw_lop050","1250","Bernardo Salinas Maya",208,TRUE,0.99611622095108,0,0.927920937538147,0.990384615384615,0.99611622095108
"raw_lop050","1251","Macarena Santelices Cañas",259,TRUE,-0.986473500728607,0,0.972993433475494,0.996138996138996,-0.986473500728607
"raw_lop050","1252","Constanza Schonhaut Soto",257,TRUE,0.738295197486877,0,0.95863276720047,0.988326848249027,0.738295197486877
"raw_lop050","1253","Fernando Ugarte Tejeda",265,TRUE,-0.993664920330048,0,0.971580028533936,0.99622641509434,-0.993664920330048
"raw_lop050","1254","Ignacio Urcullú Clèment-Lund",265,TRUE,-0.993664920330048,0,0.971580028533936,0.99622641509434,-0.993664920330048
"raw_lop050","1255","Eileen Urqueta Rojas",256,TRUE,0.0476491674780846,0,0.715934872627258,0.828125,0.0476491674780846
"raw_lop050","1256","Tatiana Urrutia Herrera",253,TRUE,0.738263487815857,0,0.958023309707642,0.988142292490119,0.738263487815857
"raw_lop050","1257","Alejandra Valdebenito Torres",260,TRUE,-0.799405753612518,0,0.883562088012695,0.946153846153846,-0.799405753612518
"raw_lop050","1258","Guillermo Valdés Carmona",255,TRUE,-0.0492361709475517,0,0.704128980636597,0.823529411764706,-0.0492361709475517
"raw_lop050","1259","Juan Marcelo Valenzuela Henríquez",249,TRUE,-0.243868499994278,0,0.778665959835052,0.887550200803213,-0.243868499994278
"raw_lop050","1260","César Valenzuela Maass",257,TRUE,0.564384162425995,0,0.921855449676514,0.992217898832685,0.564384162425995
"raw_lop050","1261","Daniel Valenzuela Salazar",244,TRUE,-0.876932322978973,0,0.952944338321686,0.975409836065574,-0.876932322978973
"raw_lop050","1262","Diego Vergara Rodríguez",264,TRUE,-0.993056774139404,0,0.971544325351715,0.996212121212121,-0.993056774139404
"raw_lop050","1263","Sebastián Zamora Soto",252,TRUE,-0.983895182609558,0,0.97215348482132,0.996031746031746,-0.983895182609558
"raw_lop050","1264","Fernando Zamorano Peralta",248,TRUE,0.364404827356339,0,0.861169636249542,0.94758064516129,0.364404827356339
"raw_lop100","803","René Alinco Bustos",207,TRUE,0.162353724241257,0,0.574917554855347,0.801932367149758,0.162353724241257
"raw_lop100","815","Sergio Bobadilla Muñoz",249,TRUE,-0.843109667301178,0,0.938004374504089,0.983935742971888,-0.843109667301178
"raw_lop100","843","René Manuel García García",211,TRUE,-0.778887808322906,0,0.906693279743195,0.966824644549763,-0.778887808322906
"raw_lop100","872","Jaime Mulet Martínez",231,TRUE,0.134998619556427,0,0.617349147796631,0.796536796536797,0.134998619556427
"raw_lop100","915","Germán Verdugo Soto",241,TRUE,-0.848556220531464,0,0.910376846790314,0.970954356846473,-0.848556220531464
"raw_lop100","986","Marcela Hernando Pérez",200,TRUE,0.250678271055222,0,0.817890763282776,0.935,0.250678271055222
"raw_lop100","1009","Jorge Alessandri Vergara",234,TRUE,-0.851290583610535,0,0.962019383907318,0.991452991452991,-0.851290583610535
"raw_lop100","1012","Boris Barrera Moreno",254,TRUE,0.970765292644501,0,0.967959940433502,0.992125984251969,0.970765292644501
"raw_lop100","1013","Alejandro Bernales Maldonado",228,TRUE,0.183621600270271,0,0.733168005943298,0.87280701754386,0.183621600270271
"raw_lop100","1015","Jorge Brito Hasbún",222,TRUE,0.916219770908356,0,0.952560484409332,0.981981981981982,0.916219770908356
"raw_lop100","1017","Álvaro Carter Fernández",238,TRUE,-0.984797239303589,0,0.977394461631775,0.995798319327731,-0.984797239303589
"raw_lop100","1021","Andrés Celis Montt",226,TRUE,-0.700376749038696,0,0.891302764415741,0.960176991150443,-0.700376749038696
"raw_lop100","1025","Catalina Del Real Mihovilovic",211,TRUE,-0.985662400722504,0,0.975570976734161,0.995260663507109,-0.985662400722504
"raw_lop100","1028","Eduardo Durán Salinas",240,TRUE,-0.681373476982117,0,0.937338173389435,0.983333333333333,-0.681373476982117
"raw_lop100","1038","Marcos Ilabaca Cerda",213,TRUE,0.474297732114792,0,0.884183406829834,0.957746478873239,0.474297732114792
"raw_lop100","1039","Pamela Jiles Moreno",239,TRUE,0.100090242922306,0,0.67390239238739,0.824267782426778,0.100090242922306
"raw_lop100","1044","Raúl Leiva Carvajal",217,TRUE,0.420331597328186,0,0.917563915252686,0.976958525345622,0.420331597328186
