vote_id,diputado_id,diputado_nombre,opcion,opcion_codigo
89072,1264,Fernando Zamorano Peralta,Afirmativo,1
89070,803,René Alinco Bustos,No Vota,4
89070,815,Sergio Bobadilla Muñoz,Afirmativo,1
89070,843,René Manuel García García,Afirmativo,1
89070,872,Jaime Mulet Martínez,No Vota,4
89070,915,Germán Verdugo Soto,Afirmativo,1
89070,986,Marcela Hernando Pérez,Afirmativo,1
89070,1009,Jorge Alessandri Vergara,No Vota,4
89070,1012,Boris Barrera Moreno,Afirmativo,1
89070,1013,Alejandro Bernales Maldonado,No Vota,4
89070,1015,Jorge Brito Hasbún,Afirmativo,1
89070,1017,Álvaro Carter Fernández,Afirmativo,1
89070,1021,Andrés Celis Montt,No Vota,4
89070,1025,Catalina Del Real Mihovilovic,Afirmativo,1
89070,1028,Eduardo Durán Salinas,Afirmativo,1
89070,1038,Marcos Ilabaca Cerda,No Vota,4
89070,1039,Pamela Jiles Moreno,No Vota,4
89070,1044,Raúl Leiva Carvajal,No Vota,4
89070,1054,Francesca Muñoz González,Afirmativo,1
89070,1056,Emilia Nuyado Ancapichun,Afirmativo,1
89070,1059,Ximena Ossandón Irarrázabal,Afirmativo,1
89070,1060,Luis Pardo Sáinz,Afirmativo,1
89070,1061,Andrea Parra Sauterel,Afirmativo,1
89070,1062,Joanna Pérez Olea,Afirmativo,1
89070,1065,Guillermo Ramírez Diez,No Vota,4
89070,1073,Juan Santana Castillo,Afirmativo,1
89070,1074,Marisela Santibáñez Novoa,Afirmativo,1
89070,1075,Diego Schalper Sepúlveda,No Vota,4
89070,1077,Raúl Soto Mardones,Afirmativo,1
89070,1082,Cristóbal Urruticoechea Ríos,No Vota,4
89070,1086,Gonzalo Winter Etcheberry,Afirmativo,1
89070,1087,Gael Yeomans Araya,Afirmativo,1
89070,1099,Jaime Araya Guerrero,Afirmativo,1
89070,1100,Cristián Araya Lerdo de Tejada,Afirmativo,1
89070,1102,Roberto Arroyo Muñoz,Afirmativo,1
89070,1104,Chiara Barchiesi Chávez,Afirmativo,1
89070,1105,Héctor Barría Angulo,No Vota,4
89070,1107,María Francisca Bello Campos,No Vota,4
89070,1108,Juan Carlos Beltrán Silva,Afirmativo,1
89070,1110,Carlos Bianchi Chelech,No Vota,4
89070,1114,Félix Bugueño Sotelo,Afirmativo,1
