boletin,rollcalls,titulo,fecha_ingreso,origen_iniciativa,tipo_iniciativa,camara_origen,codigo_destinacion,comision_origen_proxy,comisiones_tramitacion,topic_primary,topic_secondary,method,confidence,needs_review,review_reason,evidence,document_url,text_quality,source_url,taxonomy_version
16487-12,1,"Modifica la ley N° 20.920, que establece marco para la gestión de residuos, la responsabilidad extendida del productor y fomento al reciclaje, para prohibir temporalmente la importación de plásticos que indica, que sean destinados a la elaboración de productos de un solo uso",2023-12-12,parlamentario,Moción,Cámara de Diputados,12,Medio Ambiente y Recursos Naturales,Medio Ambiente y Recursos Naturales,Medio ambiente,,institucional_destinacion,0.97,0,,comision_origen=Medio Ambiente y Recursos Naturales,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=17055&prmBOLETIN=16487-12,institutional-hybrid-v0.3
16777-07,1,"Modifica el Código Penal, en materia de internación al territorio nacional de enfermedades animales o plagas vegetales",2024-04-23,parlamentario,Moción,Senado,07,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Salud,Constitución y justicia,hibrido_institucional_texto,0.848,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Salud:11.75 || score_2=Constitución y justicia:7.50",https://www.camara.cl/verDoc.aspx?prmID=17003&prmTIPO=INICIATIVA,rica,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=17381&prmBOLETIN=16777-07,institutional-hybrid-v0.3
16944-25,1,Crea el tipo penal especial de daños en infraestructura penitenciaria,2024-06-19,parlamentario,Moción,Cámara de Diputados,25,Seguridad Ciudadana,Seguridad Ciudadana,Seguridad,,institucional_destinacion,0.97,0,,comision_origen=Seguridad Ciudadana,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=17558&prmBOLETIN=16944-25,institutional-hybrid-v0.3
16985-06,1,"Establece, para el personal de Gendarmería de Chile, la obligación de efectuar declaraciones de intereses y patrimonio, en conformidad con lo dispuesto en la ley N° 20.880, sobre probidad en la función pública y prevención de los conflictos de intereses",2024-07-12,ejecutivo,Mensaje,Cámara de Diputados,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización","Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización | Hacienda",Gobierno interior y descentralización,Economía y hacienda,institucional_destinacion,0.97,0,,"comision_origen=Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=17599&prmBOLETIN=16985-06,institutional-hybrid-v0.3
17112-19,1,"Establece límites al desarrollo de la inteligencia artificial, en resguardo de los derechos humanos fundamentales",2024-09-03,parlamentario,Moción,Cámara de Diputados,19,Ciencia y Tecnología,Ciencia y Tecnología,Ciencia y tecnología,,institucional_destinacion,0.97,0,,comision_origen=Ciencia y Tecnología,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=17732&prmBOLETIN=17112-19,institutional-hybrid-v0.3
17222-07,1,"Modifica la ley N° 18.918, orgánica constitucional del Congreso Nacional, para permitir la votación dividida de las acusaciones constitucionales, en los casos que indica",2024-11-05,parlamentario,Moción,Cámara de Diputados,07,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,hibrido_institucional_texto,0.898,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:11.00 || score_2=Agricultura y mundo rural:0.00",,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=17849&prmBOLETIN=17222-07,institutional-hybrid-v0.3
17234-15,1,"Modifica el decreto ley N° 3.063, de 1979, para exigir la emisión de un permiso de circulación estandarizado en todas las comunas del país",2024-11-14,parlamentario,Moción,Cámara de Diputados,15,Transportes y Telecomunicaciones,Transportes y Telecomunicaciones | Obras Públicas,Transportes y telecomunicaciones,Infraestructura y obras públicas,institucional_destinacion,0.97,0,,comision_origen=Transportes y Telecomunicaciones,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=17862&prmBOLETIN=17234-15,institutional-hybrid-v0.3
17235-07,1,Modifica el Código Penal para crear el tipo especial de robo cometido por tumulto o multitud,2024-11-14,parlamentario,Moción,Cámara de Diputados,07,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,hibrido_institucional_texto,0.83,1,solo_comision_transversal,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:8.25 || score_2=Gobierno interior y descentralización:1.50",https://www.camara.cl/verDoc.aspx?prmID=17461&prmTIPO=INICIATIVA,rica,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=17863&prmBOLETIN=17235-07,institutional-hybrid-v0.3
17246-15,1,Modifica las leyes que indica para mejorar la fiscalización y aumentar las sanciones por evasión del pago de tarifas en el transporte público remunerado de pasajeros,2024-11-18,parlamentario,Moción,Cámara de Diputados,15,Transportes y Telecomunicaciones,Transportes y Telecomunicaciones | Seguridad Ciudadana | Hacienda,Transportes y telecomunicaciones,Seguridad | Economía y hacienda,institucional_destinacion,0.97,0,,comision_origen=Transportes y Telecomunicaciones,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=17875&prmBOLETIN=17246-15,institutional-hybrid-v0.3
17287-14,1,Modifica textos legales que indica para agilizar la obtención de permisos de urbanización y edificación,2024-12-03,parlamentario,Moción,Cámara de Diputados,14,"Vivienda, Desarrollo Urbano","Vivienda, Desarrollo Urbano",Vivienda y territorio,,institucional_destinacion,0.97,0,,"comision_origen=Vivienda, Desarrollo Urbano",,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=17927&prmBOLETIN=17287-14,institutional-hybrid-v0.3
17324-33,1,"Modifica el Código de Aguas para garantizar la participación de comités y cooperativas de agua potable rural, prestadoras de servicios sanitarios rurales, en los directorios de las comunidades de agua",2024-12-26,parlamentario,Moción,Cámara de Diputados,33,Recursos Hídricos y Desertificación,"Recursos Hídricos y Desertificación | Agricultura, Silvicultura y Desarrollo Rural",Agua y recursos hídricos,Agricultura y mundo rural,institucional_destinacion,0.97,0,,comision_origen=Recursos Hídricos y Desertificación,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=17957&prmBOLETIN=17324-33,institutional-hybrid-v0.3
17354-37,1,"Autoriza erigir un monumento en memoria del ex Presidente de la República, señor Sebastián Piñera Echenique",2025-01-15,parlamentario,Moción,Senado,37,"Cultura, Patrimonio, Artes, Deportes y Recreación","Cultura, Patrimonio, Artes, Deportes y Recreación","Cultura, patrimonio y deporte",,institucional_destinacion,0.97,0,,"comision_origen=Cultura, Patrimonio, Artes, Deportes y Recreación",,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=17987&prmBOLETIN=17354-37,institutional-hybrid-v0.3
17405-07,1,"Regula la prestación de servicios de cuidado de vehículos y limpieza de parabrisas en la vía pública, y sanciona el ejercicio no autorizado de dichas actividades",2025-03-10,parlamentario,Moción,Cámara de Diputados,07,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento | Seguridad Ciudadana",Seguridad,Constitución y justicia,institucional_trayectoria,0.94,0,,"comision_origen_transversal=Constitución, Legislación, Justicia y Reglamento || comision_sustantiva=Seguridad Ciudadana",,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18040&prmBOLETIN=17405-07,institutional-hybrid-v0.3
17451-15,1,"Autoriza la circulación en el país de vehículos que participen en competiciones de carácter internacional o federadas, en las formas y condiciones que señala",2025-04-07,parlamentario,Moción,Cámara de Diputados,15,Transportes y Telecomunicaciones,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,,institucional_destinacion,0.97,0,,comision_origen=Transportes y Telecomunicaciones,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18086&prmBOLETIN=17451-15,institutional-hybrid-v0.3
17471-07,1,Modifica la ley N° 18.119 para tipificar los delitos de robo y receptación de medidores de agua potable,2025-04-02,parlamentario,Moción,Cámara de Diputados,07,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento | Recursos Hídricos y Desertificación",Agua y recursos hídricos,Constitución y justicia,institucional_trayectoria,0.94,0,,"comision_origen_transversal=Constitución, Legislación, Justicia y Reglamento || comision_sustantiva=Recursos Hídricos y Desertificación",,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18107&prmBOLETIN=17471-07,institutional-hybrid-v0.3
17504-22,1,Fortalece la transparencia y probidad en la entrega de recursos por parte del Estado,2025-04-16,parlamentario,Moción,Cámara de Diputados,22,"Emergencias, Desastres y Bomberos","Emergencias, Desastres y Bomberos",Emergencias y desastres,,institucional_destinacion,0.97,0,,"comision_origen=Emergencias, Desastres y Bomberos",,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18143&prmBOLETIN=17504-22,institutional-hybrid-v0.3
17630-10,1,"Aprueba el &quot;Acuerdo entre la República de Chile y la República Federativa de Brasil para el reconocimiento recíproco de licencias de conductor&quot;, hecho en Santiago, República de Chile, el 5 de agosto de 2024.",2025-06-27,ejecutivo,Mensaje,Senado,10,Relaciones Exteriores,Relaciones Exteriores,Relaciones exteriores,,institucional_destinacion,0.97,0,,comision_origen=Relaciones Exteriores,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18273&prmBOLETIN=17630-10,institutional-hybrid-v0.3
