vote_id,boletin,fecha,topic_primary,topic_secondary,topic_method,topic_confidence,topic_source_layer,taxonomy_version,tipo_votacion_proyecto,resultado
88696,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Unánime
88697,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Unánime
88698,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Unánime
88699,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Unánime
88700,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Aprobado
88701,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Unánime
88702,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Aprobado
88703,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Unánime
88704,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Unánime
88705,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Unánime
88706,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Aprobado
88707,18156-04,2026-04-21,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Unánime
88718,17235-07,2026-04-22,Seguridad,Constitución y justicia,revision_semantica,0.98,inherited_rollcall_project,institutional-hybrid-v0.3,General,Aprobado
88738,16851-14,2026-05-04,Vivienda y territorio,,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,General,Aprobado
88754,17724-34,2026-05-05,Mujeres y género,,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,Única,Aprobado
88755,18016-13,2026-05-05,Trabajo y seguridad social,,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,General,Aprobado
88756,17381-03,2026-05-05,"Economía, comercio y consumidores",,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,General,Aprobado
88757,17381-03,2026-05-05,"Economía, comercio y consumidores",,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,Particular,Aprobado
88758,17471-07,2026-05-05,Agua y recursos hídricos,Constitución y justicia,institucional_trayectoria,0.94,inherited_rollcall_project,institutional-hybrid-v0.3,General,Unánime
88759,17872-33,2026-05-05,Agua y recursos hídricos,,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,General,Aprobado
88760,17872-33,2026-05-05,Agua y recursos hídricos,,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,Particular,Unánime
88761,17405-07,2026-05-05,Seguridad,Constitución y justicia,institucional_trayectoria,0.94,inherited_rollcall_project,institutional-hybrid-v0.3,General,Aprobado
88794,18107-07,2026-05-06,Constitución y justicia,,hibrido_institucional_texto,0.92,inherited_rollcall_project,institutional-hybrid-v0.3,General,Unánime
