boletin,titulo,origen_iniciativa,codigo_destinacion,comision_destino_sufijo,comision_origen_evento,comision_origen_proxy,origin_proxy_source,origin_proxy_mismatch,tema_proxy_origen,materia_pagina,materias_oficiales,comisiones_tramitacion,temas_proxy_trayectoria,comisiones_sustantivas,ministerios,text_quality,signal_strength,review_reason,origin_evidence_event
18326-18,"Refuerza la protección integral de niños, niñas y adolescentes en procesos judiciales y establece medidas de prevención y sanción de falsos informes y denuncias",parlamentario,18,"Familia, Infancia y Adolescencia",,"Familia, Infancia y Adolescencia",sufijo_boletin,0,"Familia, infancia y adolescencia",,,"Familia, Infancia y Adolescencia","Familia, infancia y adolescencia","Familia, Infancia y Adolescencia",,rica,alta,,
18296-05,Autoriza mayor endeudamiento del gobierno central durante el año 2026,ejecutivo,05,Hacienda,,Hacienda,sufijo_boletin,0,Economía y hacienda,,,Hacienda,Economía y hacienda,,Ministerio de Hacienda,rica,media,origen_transversal,
18299-35,"Modifica diversos cuerpos legales, con el objeto de promover la responsabilidad familiar respecto de adultos mayores internados en establecimientos de salud",parlamentario,35,Personas Mayores y Discapacidad,,Personas Mayores y Discapacidad,sufijo_boletin,0,Personas mayores y discapacidad,,,Personas Mayores y Discapacidad,Personas mayores y discapacidad,Personas Mayores y Discapacidad,,rica,alta,,
18300-04,Prohíbe el acceso y uso de redes sociales a menores de catorce años y establece las obligaciones que indica para los prestadores de dichos servicios,parlamentario,04,Educación,,Educación,sufijo_boletin,0,Educación,,,Educación,Educación,Educación,,rica,alta,,
18302-11,"Modifica la ley N° 20.606, sobre composición nutricional de los alimentos y su publicidad, con el objeto de facilitar el acceso a alimentos libres de gluten en establecimientos de comercio y garantizar su inocuidad",parlamentario,11,Salud,,Salud,sufijo_boletin,0,Salud,,,Salud,Salud,Salud,,rica,alta,,
18303-15,Prorroga la vigencia de las licencias de conducir en los casos y plazos que señala,parlamentario,15,Transportes y Telecomunicaciones,,Transportes y Telecomunicaciones,sufijo_boletin,0,Transportes y telecomunicaciones,,,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,Transportes y Telecomunicaciones,,rica,alta,,
18304-06,"Modifica la Ley Orgánica Constitucional de los Partidos Políticos, con el objeto de establecer un porcentaje mínimo de participación de afiliados para la validez de los procesos de elección de sus autoridades",parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18305-04,"Modifica la Ley sobre Subvención del Estado a Establecimientos Educacionales, con el objeto de prohibir la postulación a las instituciones educativas que indica a alumnos sancionados con la medida de expulsión",parlamentario,04,Educación,,Educación,sufijo_boletin,0,Educación,,,Educación,Educación,Educación,,rica,alta,,
18321-14,Fortalece la seguridad en edificaciones habitacionales en altura,parlamentario,14,"Vivienda, Desarrollo Urbano",,"Vivienda, Desarrollo Urbano",sufijo_boletin,0,Vivienda y territorio,,,"Vivienda, Desarrollo Urbano",Vivienda y territorio,"Vivienda, Desarrollo Urbano",,rica,alta,,
18322-06,"Modifica la ley N°18.695, orgánica constitucional de municipalidades, para disponer la atribución municipal de regular el horario de funcionamiento de los establecimientos de comercio que se indican",parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18301-10,"Aprueba el Convenio de Transporte Aéreo entre el Gobierno de la República de Chile y el Gobierno de la República de Costa Rica, suscrito en Lima, Perú, el 13 de diciembre de 2023",ejecutivo,10,Relaciones Exteriores,,Relaciones Exteriores,sufijo_boletin,0,Relaciones exteriores,,,Relaciones Exteriores,Relaciones exteriores,Relaciones Exteriores,Ministerio de Relaciones Exteriores | Ministerio de Transporte y Telecomunicaciones,rica,alta,,
18324-07,Introduce en el Código Procesal Penal la figura del agente encubierto en línea,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento | Seguridad Ciudadana",Constitución y justicia | Seguridad,Seguridad Ciudadana,,rica,media,origen_transversal_con_comision_sustantiva | trayectoria_multitematica,
18325-06,Establece un régimen especial de nacionalización para deportistas de alto rendimiento y proyección internacional,parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización | Deportes y Recreación",Gobierno interior y descentralización | Deportes,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización | Deportes y Recreación",,rica,alta,trayectoria_multitematica,
18327-07,"Modifica la ley N° 18.918, orgánica constitucional del Congreso Nacional, para sancionar el incumplimiento de funciones parlamentarias durante la semana distrital",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18294-15,"Modifica la ley N°18.290, de Tránsito, para eximir en todos los casos el pago de peaje a los cuerpos de bomberos",parlamentario,15,Transportes y Telecomunicaciones,,Transportes y Telecomunicaciones,sufijo_boletin,0,Transportes y telecomunicaciones,,,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,Transportes y Telecomunicaciones,,rica,alta,,
18328-05,Promueve la austeridad y fortalece los requisitos para destinar recursos públicos en actividades institucionales,parlamentario,05,Hacienda,,Hacienda,sufijo_boletin,0,Economía y hacienda,,,"Hacienda | Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Economía y hacienda | Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,media,origen_transversal_con_comision_sustantiva | trayectoria_multitematica,
18329-06,Sanciona la ocupación de bienes nacionales de uso público mediante instalaciones precarias que sirven de base a la comisión de delitos,parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18330-07,Modifica el Código Procesal Penal para restringir la presentación de querellas por parte de parlamentarios en ejercicio,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18331-17,"Modifica la ley N° 20.405, del Instituto Nacional de Derechos Humanos, en materia de transparencia, responsabilidad institucional, gobierno corporativo y rendición de cuentas",parlamentario,17,Derechos Humanos y Pueblos Originarios,,Derechos Humanos y Pueblos Originarios,sufijo_boletin,0,Derechos humanos,,,Derechos Humanos y Pueblos Originarios,Derechos humanos,Derechos Humanos y Pueblos Originarios,,rica,alta,,
18314-07,Reforma la Constitución Política en materia de detención para la ejecución de expulsiones administrativas,ejecutivo,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,Ministerio de Justicia y de Derechos Humanos | Ministerio del Interior | Ministerio de Seguridad Pública,rica,media,origen_transversal,
