boletin,titulo,origen_iniciativa,codigo_destinacion,comision_destino_sufijo,comision_origen_evento,comision_origen_proxy,origin_proxy_source,origin_proxy_mismatch,tema_proxy_origen,materia_pagina,materias_oficiales,comisiones_tramitacion,temas_proxy_trayectoria,comisiones_sustantivas,ministerios,text_quality,signal_strength,review_reason,origin_evidence_event
18400-01,"Establece medidas a favor de la seguridad de las personas y la protección de la biodiversidad y la fauna local, por medio del control de los perros asilvestrados o ferales",parlamentario,01,"Agricultura, Silvicultura y Desarrollo Rural",,"Agricultura, Silvicultura y Desarrollo Rural",sufijo_boletin,0,Agricultura y mundo rural,,,"Agricultura, Silvicultura y Desarrollo Rural",Agricultura y mundo rural,"Agricultura, Silvicultura y Desarrollo Rural",,rica,alta,,
18368-07,"Interpreta el artículo 226 U del Código Procesal Penal, en materia de valoración de la prueba testimonial de personas con identidad reservada",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18372-25,"Modifica la ley N° 21.659, sobre seguridad privada, con el objeto de excluir a las festividades religiosas de las reglas dispuestas para la realización de eventos masivos",parlamentario,25,Seguridad Ciudadana,,Seguridad Ciudadana,sufijo_boletin,0,Seguridad,,,Seguridad Ciudadana,Seguridad,Seguridad Ciudadana,,rica,alta,,
18377-06,"Modifica la ley N° 21.325, de migración y extranjería, en materia de requisitos en procedimientos de reunificación familiar que involucren a niños, niñas y adolescentes",parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18379-15,"Modifica la Ley General de Telecomunicaciones, con el objeto de establecer un número telefónico para la comunicación de emergencia viales",parlamentario,15,Transportes y Telecomunicaciones,,Transportes y Telecomunicaciones,sufijo_boletin,0,Transportes y telecomunicaciones,,,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,Transportes y Telecomunicaciones,,rica,alta,,
18402-33,"Modifica el Código de Aguas para fortalecer la protección de nacientes, vertientes y cabeceras de cuenca",parlamentario,33,Recursos Hídricos y Desertificación,,Recursos Hídricos y Desertificación,sufijo_boletin,0,Agua y recursos hídricos,,,Recursos Hídricos y Desertificación,Agua y recursos hídricos,Recursos Hídricos y Desertificación,,rica,alta,,
18403-24,Aumenta penalidad en delitos contra monumentos nacionales,parlamentario,24,"Cultura, Artes y Comunicaciones",,"Cultura, Artes y Comunicaciones",sufijo_boletin,0,Cultura y comunicaciones,,,"Cultura, Artes y Comunicaciones",Cultura y comunicaciones,"Cultura, Artes y Comunicaciones",,rica,alta,,
18405-25,Autoriza administrativamente controles policiales preventivos en situaciones que indica,parlamentario,25,Seguridad Ciudadana,,Seguridad Ciudadana,sufijo_boletin,0,Seguridad,,,Seguridad Ciudadana,Seguridad,Seguridad Ciudadana,,rica,alta,,
18459-05,"Prohíbe establecer como hecho gravado, base imponible o elemento constitutivo de la obligación tributaria una conducta ilícita o constitutiva de delito",parlamentario,05,Hacienda,,Hacienda,sufijo_boletin,0,Economía y hacienda,,,Hacienda,Economía y hacienda,,,sin_texto,media,origen_transversal,
18408-25,Modifica leyes que indica para permitir la homologación del servicio militar en los procesos de formación e ingreso institucional de Carabineros de Chile y Gendarmería de Chile,parlamentario,25,Seguridad Ciudadana,,Seguridad Ciudadana,sufijo_boletin,0,Seguridad,,,Seguridad Ciudadana | Defensa Nacional,Seguridad | Defensa,Seguridad Ciudadana | Defensa Nacional,,rica,alta,trayectoria_multitematica,
18409-03,"Modifica el artículo 38 de la Ley General de Bancos, incorporando nuevas exigencias en materia de seguridad y autenticación para las personas que realicen trámites presenciales ante instituciones bancarias del país",parlamentario,03,"Economía, Fomento, MIPYMES, Consumidores y Turismo",,"Economía, Fomento, MIPYMES, Consumidores y Turismo",sufijo_boletin,0,"Economía, comercio y consumidores",,,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores","Economía, Fomento, MIPYMES, Consumidores y Turismo",,rica,alta,,
18378-18,Fortalece el ejercicio de la responsabilidad parental,ejecutivo,18,"Familia, Infancia y Adolescencia",,"Familia, Infancia y Adolescencia",sufijo_boletin,0,"Familia, infancia y adolescencia",,,"Familia, Infancia y Adolescencia","Familia, infancia y adolescencia","Familia, Infancia y Adolescencia",Ministerio de Justicia y de Derechos Humanos,rica,alta,,
18410-07,Modifica el artículo 60 de la Constitución Política de la República con el objeto de permitir la renuncia al cargo de diputado o senador,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18411-11,"Modifica la ley N° 19.451, que establece normas sobre trasplante y donación de órganos, para impedir la discriminación en el acceso a esta prestación médica respecto de personas adoptadas, con filiación desconocida o sin vínculos familiares biológicos (Ley Thiare)",parlamentario,11,Salud,,Salud,sufijo_boletin,0,Salud,,,Salud,Salud,Salud,,rica,alta,,
18383-06,"Modifica ley N° 10.336, de organización y atribuciones de la Contraloría General de la República, con el objeto de delimitar el régimen de exclusiva confianza en dicha institución",parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,utilizable,alta,,
18384-08,Ley de protección tarifaria eléctrica,ejecutivo,08,Minería y Energía,,Minería y Energía,sufijo_boletin,0,Minería y energía,,,Minería y Energía,Minería y energía,Minería y Energía,Ministerio de Energía | Ministerio de Hacienda,rica,alta,,
18412-07,"Modifica ley N° 18.415, orgánica constitucional de los Estados de Excepción, con el objeto de introducir el concepto de bienes y servicios esenciales durante su vigencia",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18413-07,Modifica la Constitución Política de la República en materia de admisibilidad y efectos de las acusaciones constitucionales,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18414-18,Modifica cuerpos legales que indica en materia de notificaciones de medidas cautelares dictadas en procesos de violencia intrafamiliar,parlamentario,18,"Familia, Infancia y Adolescencia",,"Familia, Infancia y Adolescencia",sufijo_boletin,0,"Familia, infancia y adolescencia",,,"Familia, Infancia y Adolescencia | Mujeres y Equidad de Género","Familia, infancia y adolescencia | Mujeres y género","Familia, Infancia y Adolescencia | Mujeres y Equidad de Género",,rica,alta,trayectoria_multitematica,
18385-07,"Concede amnistía al personal de las Fuerzas Armadas y de Orden y Seguridad Pública por hechos ejecutados en resguardo del orden público, en el período que indica",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18389-04,Faculta a los establecimientos educacionales a implementar un mecanismo de elección mutua en el proceso de admisión escolar,ejecutivo,04,Educación,Hacienda,Hacienda,evento_cuenta_vs_sufijo,1,Economía y hacienda,,,Educación | Hacienda,Educación | Economía y hacienda,Educación,Ministerio de Hacienda | Ministerio de Educación,rica,media,discrepancia_origen_evento_vs_sufijo | origen_transversal_con_comision_sustantiva | trayectoria_multitematica,Primer informe de comisión. Pasa a Comisión de Hacienda
18406-02,"Modifica la ley N° 18.575 orgánica constitucional de Bases Generales de la Administración del Estado, en lo relativo al régimen de protección de derechos fundamentales aplicable al personal de las Fuerzas Armadas y de Orden y Seguridad Pública",parlamentario,02,Defensa Nacional,,Defensa Nacional,sufijo_boletin,0,Defensa,,,Defensa Nacional,Defensa,Defensa Nacional,,rica,alta,,
18415-18,"Modifica la ley N° 21.663, marco de ciberseguridad, para incorporar los principios de protección a la infancia y adolescencia, restricción etaria e información preventiva en entornos digitales",parlamentario,18,"Familia, Infancia y Adolescencia",,"Familia, Infancia y Adolescencia",sufijo_boletin,0,"Familia, infancia y adolescencia",,,"Familia, Infancia y Adolescencia | Ciencia y Tecnología","Familia, infancia y adolescencia | Ciencia y tecnología","Familia, Infancia y Adolescencia | Ciencia y Tecnología",,rica,alta,trayectoria_multitematica,
18416-07,Modifica el Código Penal para hacer aplicable la imprescriptibilidad de la acción penal a todos los casos de trata de personas contra víctimas menores de edad y establecer reglas especiales de protección penal,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18417-04,"Modifica la ley N° 21.091, para establecer la obligación de resguardar la seguridad en las instituciones de educación superior",parlamentario,04,Educación,,Educación,sufijo_boletin,0,Educación,,,Educación,Educación,Educación,,rica,alta,,
18418-04,"Refuerza el cumplimiento, por parte de las familias, de las medidas convencionales tendientes a resguardar la protección de la convivencia educativa, la seguridad escolar o la integridad física y psíquica del propio estudiante o de terceros",parlamentario,04,Educación,,Educación,sufijo_boletin,0,Educación,,,Educación,Educación,Educación,,rica,alta,,
18401-31,Entrega un bono extraordinario de apoyo a la niñez,ejecutivo,31,Desarrollo Social,Hacienda,Hacienda,evento_cuenta_vs_sufijo,1,Economía y hacienda,,,Desarrollo Social | Hacienda,Desarrollo social | Economía y hacienda,Desarrollo Social,Ministerio de Desarrollo Social y Famili | Ministerio de Hacienda | Ministerio de Trabajo y Previsión Social,rica,media,discrepancia_origen_evento_vs_sufijo | origen_transversal_con_comision_sustantiva | trayectoria_multitematica,Primer informe de comisión. Pasa a Comisión de Hacienda
18404-13,"Modifica el Código del Trabajo, con el objeto de extender los permisos y el fuero a que tienen derecho los trabajadores en el caso de fallecimiento de familiares",parlamentario,13,Trabajo y Seguridad Social,,Trabajo y Seguridad Social,sufijo_boletin,0,Trabajo y seguridad social,,,Trabajo y Seguridad Social,Trabajo y seguridad social,Trabajo y Seguridad Social,,rica,alta,,
18407-25,"Modifica diversos cuerpos legales, con el objeto de agravar las sanciones aplicables en materia de lavado de activos",parlamentario,25,Seguridad Ciudadana,,Seguridad Ciudadana,sufijo_boletin,0,Seguridad,,,Seguridad Ciudadana,Seguridad,Seguridad Ciudadana,,rica,alta,,
18420-25,"Modifica diversos cuerpos legales, con el objeto de fortalecer la seguridad portuaria ante acciones promovidas por el crimen organizado",parlamentario,25,Seguridad Ciudadana,,Seguridad Ciudadana,sufijo_boletin,0,Seguridad,,,Seguridad Ciudadana,Seguridad,Seguridad Ciudadana,,rica,alta,,
18422-06,"Modifica la Ley de Migración y Extranjería, con el objeto de reforzar la trazabilidad de la información referida a niños, niñas y adolescentes extranjeros que ingresan al país",parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18424-07,"Modifica el Código de Procedimiento Civil, con el objeto de establecer la inembargabilidad de determinadas sumas de dinero pertenecientes a deudores de créditos destinados a financiar estudios de educación superior, en las condiciones que indica",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18425-15,"Modifica la Ley de Tránsito, con el objeto de hacer procedente la aplicación de la medida cautelar de suspensión provisoria de la licencia de conducir, en el caso del delito que indica",parlamentario,15,Transportes y Telecomunicaciones,,Transportes y Telecomunicaciones,sufijo_boletin,0,Transportes y telecomunicaciones,,,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,Transportes y Telecomunicaciones,,rica,alta,,
18430-07,"Modifica el Código Orgánico de Tribunales, con el objeto de actualizar las reglas de competencia penal respecto de delitos cometidos mediante sistemas informáticos, plataformas tecnológicas u otros medios digitales",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18443-07,Crea el Registro Nacional de Condenados por Delitos Económicos y establece restricciones a beneficios estatales para quienes los cometen,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento | Seguridad Ciudadana",Constitución y justicia | Seguridad,Seguridad Ciudadana,,rica,media,origen_transversal_con_comision_sustantiva | trayectoria_multitematica,
18419-11,"Modifica el Código Sanitario para establecer el deber del médico de informar a la mujer sobre la actividad cardíaca embrionaria o fetal, y de ofrecerle la oportunidad de escucharla, en forma previa a la interrupción del embarazo",parlamentario,11,Salud,,Salud,sufijo_boletin,0,Salud,,,Salud,Salud,Salud,,rica,alta,,
18432-07,"Modifica el Código Penal para delimitar la aplicación del tipo penal de apremios ilegítimos u otros tratos crueles, inhumanos o degradantes, a conductas cometidas por empleados públicos respecto de personas bajo su custodia",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18433-04,Modifica diversos cuerpos legales para promover la ciudadanía digital y establecer medidas de prevención y protección frente al daño digital en el sistema escolar,parlamentario,04,Educación,,Educación,sufijo_boletin,0,Educación,,,Educación,Educación,Educación,,rica,alta,,
18444-14,Obliga a instalar detectores de humo en viviendas nuevas como requisito para la recepción final de las obras,parlamentario,14,"Vivienda, Desarrollo Urbano",,"Vivienda, Desarrollo Urbano",sufijo_boletin,0,Vivienda y territorio,,,"Vivienda, Desarrollo Urbano",Vivienda y territorio,"Vivienda, Desarrollo Urbano",,rica,alta,,
18434-07,"Modifica cuerpos legales que indica para sancionar la explotación, facilitación y promoción de servicios sexuales remunerados de terceros",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento | Seguridad Ciudadana",Constitución y justicia | Seguridad,Seguridad Ciudadana,,rica,media,origen_transversal_con_comision_sustantiva | trayectoria_multitematica,
18435-01,"Establece un mecanismo de trazabilidad y control de insumos, maquinaria y bienes críticos rurales",parlamentario,01,"Agricultura, Silvicultura y Desarrollo Rural",,"Agricultura, Silvicultura y Desarrollo Rural",sufijo_boletin,0,Agricultura y mundo rural,,,"Agricultura, Silvicultura y Desarrollo Rural",Agricultura y mundo rural,"Agricultura, Silvicultura y Desarrollo Rural",,rica,alta,,
18421-07,"Modifica diversos cuerpos legales, con el objeto de sancionar la utilización y reclutamiento de menores de edad por parte de asociaciones delictivas y criminales",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18423-07,"Concede indulto general en favor de las personas que indica, por hechos acaecidos a contar del día 18 de octubre de 2019",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18426-07,"Modifica el Código Penal, con el objeto de aumentar la sanción asignada al homicidio simple y modificar reglas de determinación de la pena respecto de los delitos que indica",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18447-07,Dispone la invariabilidad normativa de los derechos sociales y laborales que señala,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18448-25,"Modifica la ley N°18.961, orgánica constitucional de Carabineros de Chile, en cuanto a los procedimientos de evaluación médica que fundamentan retiros de personal",parlamentario,25,Seguridad Ciudadana,,Seguridad Ciudadana,sufijo_boletin,0,Seguridad,,,Seguridad Ciudadana | Personas Mayores y Discapacidad,Seguridad | Personas mayores y discapacidad,Seguridad Ciudadana | Personas Mayores y Discapacidad,,rica,alta,trayectoria_multitematica,
18449-06,Fortalece las compras públicas locales,parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18427-07,"Modifica el artículo 52 de la Carta Fundamental, en materia de procedencia y admisibilidad de las acusaciones constitucionales",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18450-01,Establece exigencias mínimas de factibilidad sanitaria y acreditación de derechos de agua en la etapa de subdivisión rural,parlamentario,01,"Agricultura, Silvicultura y Desarrollo Rural",,"Agricultura, Silvicultura y Desarrollo Rural",sufijo_boletin,0,Agricultura y mundo rural,,,"Agricultura, Silvicultura y Desarrollo Rural",Agricultura y mundo rural,"Agricultura, Silvicultura y Desarrollo Rural",,utilizable,alta,,
18468-13,Fortalece la prevención de riesgos laborales en la industria audiovisual,parlamentario,13,Trabajo y Seguridad Social,,Trabajo y Seguridad Social,sufijo_boletin,0,Trabajo y seguridad social,,,Trabajo y Seguridad Social,Trabajo y seguridad social,Trabajo y Seguridad Social,,rica,alta,,
18428-10,"Aprueba el Sexto Protocolo Adicional al Acuerdo de Alcance Parcial sobre Transporte Internacional Terrestre, suscrito en Montevideo, el 4 de agosto de 2025",ejecutivo,10,Relaciones Exteriores,,Relaciones Exteriores,sufijo_boletin,0,Relaciones exteriores,,,Relaciones Exteriores,Relaciones exteriores,Relaciones Exteriores,Ministerio de Relaciones Exteriores | Ministerio de Transporte y Telecomunicaciones,rica,alta,,
18429-10,"Aprueba el Tratado entre la República de Chile y la República Federativa de Brasil sobre Asistencia Jurídica Mutua en Materia Penal, hecho en Brasilia, el 22 de abril de 2025",ejecutivo,10,Relaciones Exteriores,,Relaciones Exteriores,sufijo_boletin,0,Relaciones exteriores,,,Relaciones Exteriores,Relaciones exteriores,Relaciones Exteriores,Ministerio de Justicia y de Derechos Humanos | Ministerio de Relaciones Exteriores,rica,alta,,
18431-31,"Modifica la ley N° 21.805, que reconoce el derecho al cuidado y crea el Sistema Nacional de Apoyos y Cuidados, y otros cuerpos normativos que indica",ejecutivo,31,Desarrollo Social,,Desarrollo Social,sufijo_boletin,0,Desarrollo social,,,Desarrollo Social,Desarrollo social,Desarrollo Social,Ministerio de Desarrollo Social y Famili,rica,alta,,
18453-13,Reconoce equivalencias a la experiencia laboral para promover la inserción laboral de las personas jóvenes,parlamentario,13,Trabajo y Seguridad Social,,Trabajo y Seguridad Social,sufijo_boletin,0,Trabajo y seguridad social,,,Trabajo y Seguridad Social,Trabajo y seguridad social,Trabajo y Seguridad Social,,rica,alta,,
18454-11,Prohíbe la venta de bebidas energéticas a menores de dieciocho años,parlamentario,11,Salud,,Salud,sufijo_boletin,0,Salud,,,Salud,Salud,Salud,,rica,alta,,
18455-07,Restringe la sustitución y remisión de sanciones respecto de adolescentes condenados por delitos de especial gravedad,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18456-06,Dispone como falta a la probidad la no devolución de remuneraciones percibidas en caso de rechazo de licencia médica,parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18457-06,"Modifica el decreto ley N°3.063, de 1979, sobre rentas municipales, para exigir antecedentes penales y regularidad migratoria al personal de barberías y peluquerías",parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18458-07,Facilita el acceso a la justicia a turistas extranjeros víctimas de delitos en el territorio nacional,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18460-07,Modifica la Constitución Política para establecer un régimen transitorio de apoyo de las fuerzas armadas a las policías en labores de seguridad pública y combate al crimen organizado,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18437-37,Declara el 8 de octubre de cada año como el Día Nacional de Punta Angamos,parlamentario,37,,,,sin_proxy,0,,,,,,,,rica,baja,codigo_destinacion_no_mapeado | sin_proxy_comision_origen,
18438-02,"Modifica el decreto ley N° 2.460, de 1979, que dicta Ley Orgánica de Policía de Investigaciones de Chile, con el objeto de autorizar el porte de armas de fuego al personal en retiro que señala",parlamentario,02,Defensa Nacional,,Defensa Nacional,sufijo_boletin,0,Defensa,,,Defensa Nacional,Defensa,Defensa Nacional,,rica,alta,,
18439-02,"Modifica el decreto ley N°3.356, de 1980, para permitir el porte de armas de fuego al personal en retiro de Carabineros de Chile, en las condiciones que indica",parlamentario,02,Defensa Nacional,,Defensa Nacional,sufijo_boletin,0,Defensa,,,Defensa Nacional,Defensa,Defensa Nacional,,rica,alta,,
18440-03,"Modifica la ley N° 19.496, que establece normas sobre protección de los derechos de los consumidores, con el objeto de fortalecer el resguardo de los asistentes a eventos públicos ante la modificación de las condiciones ofrecidas por sus organizadores",parlamentario,03,"Economía, Fomento, MIPYMES, Consumidores y Turismo",,"Economía, Fomento, MIPYMES, Consumidores y Turismo",sufijo_boletin,0,"Economía, comercio y consumidores",,,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores","Economía, Fomento, MIPYMES, Consumidores y Turismo",,rica,alta,,
18441-03,"Modifica la ley N° 20.009, con el objeto de promover la aplicación de criterios de accesibilidad e inclusión financiera en procedimientos de autenticación de usuarios en transacciones electrónicas",parlamentario,03,"Economía, Fomento, MIPYMES, Consumidores y Turismo",,"Economía, Fomento, MIPYMES, Consumidores y Turismo",sufijo_boletin,0,"Economía, comercio y consumidores",,,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores","Economía, Fomento, MIPYMES, Consumidores y Turismo",,rica,alta,,
18442-07,"Modifica diversos cuerpos legales, con el objeto de agravar las sanciones en el caso de entrega o exhibición de material pornográfico e inadecuado a menores de catorce años",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",evento_cuenta+sufijo,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,"Primer informe de comisión. Pasa a Comisión de Constitución, Legislación, Justicia y Reglamento"
18461-04,"Modifica la ley N°20.370, general de educación, para regular a los apoderados en el sistema educacional chileno",parlamentario,04,Educación,,Educación,sufijo_boletin,0,Educación,,,Educación,Educación,Educación,,rica,alta,,
18469-15,"Modifica la ley N°18.290, de Tránsito, para ampliar los supuestos de procedencia de la suspensión provisoria de la licencia de conducir",parlamentario,15,Transportes y Telecomunicaciones,,Transportes y Telecomunicaciones,sufijo_boletin,0,Transportes y telecomunicaciones,,,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,Transportes y Telecomunicaciones,,rica,alta,,
18471-07,Faculta a las policías a practicar controles preventivos de identidad a mayores de catorce años,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18473-03,Fortalece la transparencia de los créditos hipotecarios con apoyo estatal y dispone como antecedente crediticio el comportamiento de pago de canon de arrendamiento,parlamentario,03,"Economía, Fomento, MIPYMES, Consumidores y Turismo",,"Economía, Fomento, MIPYMES, Consumidores y Turismo",sufijo_boletin,0,"Economía, comercio y consumidores",,,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores","Economía, Fomento, MIPYMES, Consumidores y Turismo",,rica,alta,,
18436-15,"Modifica la Ley Orgánica de la Empresa de los Ferrocarriles del Estado, con el objeto de establecer una exención de derechos y tributos municipales por la ejecución de obras ferroviarias y declarar dichas obras como infraestructura ejecutada por el Estado",ejecutivo,15,Transportes y Telecomunicaciones,,Transportes y Telecomunicaciones,sufijo_boletin,0,Transportes y telecomunicaciones,,,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,Transportes y Telecomunicaciones,Ministerio del Interior | Ministerio de Bienes Nacionales | Ministerio de Obras Públicas | Ministerio de Vivienda y Urbanismo | Ministerio de Transporte y Telecomunicaciones,rica,alta,,
18445-07,"Incorpora la figura del contexto operativo en materia de fundamentación de resoluciones judiciales y de actuaciones del Ministerio Público, en los casos que indica",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18451-11,"Modifica el Código Sanitario, en lo relativo a la información contenida en el etiquetado de medicamentos, productos farmacéuticos y suplementos alimenticios",parlamentario,11,Salud,,Salud,sufijo_boletin,0,Salud,,,Salud,Salud,Salud,,rica,alta,,
18452-02,"Modifica el decreto ley N° 2.460, de 1979, que dicta Ley Orgánica de Policía de Investigaciones de Chile, con el objeto de ampliar la autorización para portar armas a los funcionarios en retiro que indica",parlamentario,02,Defensa Nacional,,Defensa Nacional,sufijo_boletin,0,Defensa,,,Defensa Nacional,Defensa,Defensa Nacional,,rica,alta,,
