boletin,sequence,commission,topic_proxy,is_origin_proxy,is_transversal,source_type,first_seen_date,etapa,evidence_event,source_url
18417-04,1,Educación,Educación,1,0,sufijo_boletin,2026-06-23,destinación inicial,Código de destinación del boletín: 04,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19113&prmBOLETIN=18417-04
18418-04,1,Educación,Educación,1,0,sufijo_boletin,2026-06-23,destinación inicial,Código de destinación del boletín: 04,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19108&prmBOLETIN=18418-04
18401-31,1,Desarrollo Social,Desarrollo social,1,0,sufijo_boletin,2026-06-24,destinación inicial,Código de destinación del boletín: 31,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19085&prmBOLETIN=18401-31
18401-31,2,Hacienda,Economía y hacienda,0,1,evento_tramitacion,2026-08-12,Segundo trámite constitucional / Senado,Primer informe de comisión. Pasa a Comisión de Hacienda,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19085&prmBOLETIN=18401-31
18404-13,1,Trabajo y Seguridad Social,Trabajo y seguridad social,1,0,sufijo_boletin,2026-06-24,destinación inicial,Código de destinación del boletín: 13,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19087&prmBOLETIN=18404-13
18407-25,1,Seguridad Ciudadana,Seguridad,1,0,sufijo_boletin,2026-06-24,destinación inicial,Código de destinación del boletín: 25,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19090&prmBOLETIN=18407-25
18420-25,1,Seguridad Ciudadana,Seguridad,1,0,sufijo_boletin,2026-06-24,destinación inicial,Código de destinación del boletín: 25,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19092&prmBOLETIN=18420-25
18422-06,1,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,1,0,sufijo_boletin,2026-06-24,destinación inicial,Código de destinación del boletín: 06,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19097&prmBOLETIN=18422-06
18424-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-06-24,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19098&prmBOLETIN=18424-07
18425-15,1,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,1,0,sufijo_boletin,2026-06-24,destinación inicial,Código de destinación del boletín: 15,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19095&prmBOLETIN=18425-15
18430-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-06-24,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19114&prmBOLETIN=18430-07
18443-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,evento_tramitacion,2026-07-13,Primer trámite constitucional / C. Diputados,"Oficio N° 21385. Comunica a la Comisión de Seguridad Ciudadana el acuerdo de la Sala, en orden a que le sea remitido del proyecto de ley, una vez que sea despachado por la Comisión de Constitución, Legislación, Justicia y Reglamento.",https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19127&prmBOLETIN=18443-07
18443-07,2,Seguridad Ciudadana,Seguridad,0,0,evento_tramitacion,2026-07-13,Primer trámite constitucional / C. Diputados,"Oficio N° 21385. Comunica a la Comisión de Seguridad Ciudadana el acuerdo de la Sala, en orden a que le sea remitido del proyecto de ley, una vez que sea despachado por la Comisión de Constitución, Legislación, Justicia y Reglamento.",https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19127&prmBOLETIN=18443-07
18419-11,1,Salud,Salud,1,0,sufijo_boletin,2026-06-25,destinación inicial,Código de destinación del boletín: 11,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19112&prmBOLETIN=18419-11
18432-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-06-25,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19117&prmBOLETIN=18432-07
18433-04,1,Educación,Educación,1,0,sufijo_boletin,2026-06-25,destinación inicial,Código de destinación del boletín: 04,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19118&prmBOLETIN=18433-04
