boletin,project_id,fecha_ingreso,origen_iniciativa,titulo,document_type,event_label,source_url,resolved_url,mime_type,extraction_method,pages_total,units_examined,raw_chars,cleaned_chars,text_quality,text_sha256,synced_at
18434-07,19115,2026-06-28,parlamentario,"Modifica cuerpos legales que indica para sancionar la explotación, facilitación y promoción de servicios sexuales remunerados de terceros",ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18662&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18662&prmTIPO=INICIATIVA,application/pdf,pdf_text,7,7,7808,6084,rica,17139f50dfd94aff2e02f14250543ed860401eddbe95f8c79679443e948bd7bb,2026-09-02T15:11:01+00:00
18435-01,19116,2026-06-29,parlamentario,"Establece un mecanismo de trazabilidad y control de insumos, maquinaria y bienes críticos rurales",ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18663&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18663&prmTIPO=INICIATIVA,application/pdf,pdf_text,12,12,24063,22444,rica,fc3c739b906b41cdf07e955f686d027cfbbcb38dccea2a76087cc3b414518a3b,2026-09-02T15:11:02+00:00
18436-15,19119,2026-07-08,ejecutivo,"Modifica la Ley Orgánica de la Empresa de los Ferrocarriles del Estado, con el objeto de establecer una exención de derechos y tributos municipales por la ejecución de obras ferroviarias y declarar dichas obras como infraestructura ejecutada por el Estado",texto_mensaje,Texto del Mensaje,https://www.camara.cl/verDoc.aspx?prmID=36798&prmTIPO=OFICIOPLEY,https://www.camara.cl/verDoc.aspx?prmID=36798&prmTIPO=OFICIOPLEY,application/vnd.openxmlformats-officedocument.wordprocessingml.document,docx_text,0,126,9506,9506,rica,a2f7b7c124a1fd2b6c26ab05a7c2f7191db844f4c3249179eaea50b0ea1031b4,2026-09-02T15:11:16+00:00
18437-37,19120,2026-07-07,parlamentario,Declara el 8 de octubre de cada año como el Día Nacional de Punta Angamos,ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18667&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18667&prmTIPO=INICIATIVA,application/pdf,pdf_text,3,3,4871,4871,rica,ff25cca13d4f570e31b61491c93dbed28568a95032cb39da87052493d6510e33,2026-09-02T15:11:11+00:00
18438-02,19121,2026-07-07,parlamentario,"Modifica el decreto ley N° 2.460, de 1979, que dicta Ley Orgánica de Policía de Investigaciones de Chile, con el objeto de autorizar el porte de armas de fuego al personal en retiro que señala",ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18668&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18668&prmTIPO=INICIATIVA,application/pdf,pdf_text,5,5,13050,13050,rica,605172b7b6142fcc596cf6b16fabccc5dbeb4c7eb216235f36d6d512904096bf,2026-09-02T15:11:12+00:00
18439-02,19122,2026-07-07,parlamentario,"Modifica el decreto ley N°3.356, de 1980, para permitir el porte de armas de fuego al personal en retiro de Carabineros de Chile, en las condiciones que indica",ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18669&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18669&prmTIPO=INICIATIVA,application/pdf,pdf_text,5,5,11890,11890,rica,3984f5d6b9e5b27c375b54cd95b46a2d94455dea65a9d10f712f2a253d9fe783,2026-09-02T15:11:12+00:00
18440-03,19123,2026-07-07,parlamentario,"Modifica la ley N° 19.496, que establece normas sobre protección de los derechos de los consumidores, con el objeto de fortalecer el resguardo de los asistentes a eventos públicos ante la modificación de las condiciones ofrecidas por sus organizadores",ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18670&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18670&prmTIPO=INICIATIVA,application/pdf,pdf_text,5,5,11204,11204,rica,fefe1dfef3fc44aff4a53cd2d386117f529228f6a42df528e1b98360c7491c92,2026-09-02T15:11:13+00:00
18441-03,19124,2026-07-07,parlamentario,"Modifica la ley N° 20.009, con el objeto de promover la aplicación de criterios de accesibilidad e inclusión financiera en procedimientos de autenticación de usuarios en transacciones electrónicas",ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18671&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18671&prmTIPO=INICIATIVA,application/pdf,pdf_text,3,3,6578,6578,rica,c0de8789309e482b92276ed42bbb732c414f196ee929cd6dc104e62f42d67e23,2026-09-02T15:11:13+00:00
18442-07,19125,2026-07-07,parlamentario,"Modifica diversos cuerpos legales, con el objeto de agravar las sanciones en el caso de entrega o exhibición de material pornográfico e inadecuado a menores de catorce años",ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18672&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18672&prmTIPO=INICIATIVA,application/pdf,pdf_text,10,10,24754,24754,rica,ddf4a8c11039a6e468b2dda1df08d681fc16d2e5c8c564d69dc3a7015fef18fc,2026-09-02T15:11:13+00:00
18443-07,19127,2026-06-24,parlamentario,Crea el Registro Nacional de Condenados por Delitos Económicos y establece restricciones a beneficios estatales para quienes los cometen,ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18674&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18674&prmTIPO=INICIATIVA,application/pdf,pdf_text,9,9,16764,15028,rica,bde72c3676adf4862d44b613f2703d6014f933093735dc086e8c632e47b54990,2026-09-02T15:10:59+00:00
18444-14,19128,2026-06-26,parlamentario,Obliga a instalar detectores de humo en viviendas nuevas como requisito para la recepción final de las obras,ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18675&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18675&prmTIPO=INICIATIVA,application/pdf,pdf_text,6,6,6475,4855,rica,1265dfbc2ca2fc0582839b3fedae1dace0e4dc1b57c31fd1cd5dbcd990cd5621,2026-09-02T15:11:01+00:00
18445-07,19126,2026-07-08,parlamentario,"Incorpora la figura del contexto operativo en materia de fundamentación de resoluciones judiciales y de actuaciones del Ministerio Público, en los casos que indica",ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18673&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18673&prmTIPO=INICIATIVA,application/pdf,pdf_text,5,5,11718,11718,rica,7a9041fd480240585316644cf2ab58652de7bc65e6cb913b410befb066b84ae2,2026-09-02T15:11:17+00:00
18446-07,19147,2026-07-14,parlamentario,Tiene por objeto ampliar la aplicación de la circunstancia eximente de responsabilidad penal de la legítima defensa al caso que indica,ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18694&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18694&prmTIPO=INICIATIVA,application/pdf,pdf_text,6,6,12100,12100,rica,bd0843f1ca41270c4a62d3e27c3671e8906520d228acddff61f03f3f9a43ae65,2026-09-02T15:11:22+00:00
18447-07,19130,2026-06-30,parlamentario,Dispone la invariabilidad normativa de los derechos sociales y laborales que señala,ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18677&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18677&prmTIPO=INICIATIVA,application/pdf,pdf_text,8,8,9791,8199,rica,91cd7583010b09d30688108f9fe7dd39ccf31f952aef10b481fe488dbbff92bb,2026-09-02T15:11:04+00:00
