"vote_id","boletin","fecha","minority_share_binary","binary_participation_share","spread_1d","midpoint_1d","gmp","apre"
"88902","18216-05","2026-05-20",0.363636,0.993548,0.426652252674103,0.235653132200241,0.822396039962769,0.696428571428571
"88903","18216-05","2026-05-20",0.403974,0.974194,0.493277579545975,0.116438373923302,0.868260204792023,0.868852459016393
"88904","18216-05","2026-05-20",0.292517,0.948387,0.901186943054199,-0.841484069824219,0.790831506252289,0.674418604651163
"88905","18216-05","2026-05-20",0.428571,0.993548,0.765392422676086,0.0707030445337296,0.916085660457611,0.939393939393939
"88906","18216-05","2026-05-20",0.427632,0.980645,0.552028834819794,0.0453874580562115,0.894247531890869,0.907692307692308
"88907","18216-05","2026-05-20",0.46,0.967742,1.10369575023651,-0.103695772588253,0.975102543830872,0.971014492753623
"88908","18216-05","2026-05-20",0.411765,0.987097,0.652942478656769,0.1147406026721,0.896902561187744,0.920634920634921
"88909","18216-05","2026-05-20",0.464052,0.987097,0.861718833446503,-0.0810871869325638,0.9508136510849,0.957746478873239
"88910","18216-05","2026-05-20",0.448276,0.935484,-0.671998918056488,-0.534367203712463,0.917521297931671,0.907692307692308
"88911","18216-05","2026-05-20",0.369231,0.83871,-0.785258769989014,-0.674230635166168,0.907373309135437,0.895833333333333
"88912","18216-05","2026-05-20",0.375,0.980645,1.22624158859253,0.22624160349369,0.912442028522491,0.894736842105263
"88913","18216-05","2026-05-20",0.443709,0.974194,-0.559562563896179,0.00743273319676518,0.899403214454651,0.925373134328358
"88914","18216-05","2026-05-20",0.427632,0.980645,-0.929687023162842,0.0861404687166214,0.927261173725128,0.923076923076923
"88915","18216-05","2026-05-20",0.437086,0.974194,0.464332908391953,-0.0155157372355461,0.877827048301697,0.893939393939394
"88917","18216-05","2026-05-20",0.444444,0.987097,-1.06316125392914,0.0631612166762352,0.974177539348602,1
"88918","18216-05","2026-05-20",0.464052,0.987097,-0.687507748603821,-0.0756029337644577,0.931724607944489,0.915492957746479
"88919","18216-05","2026-05-20",0.477124,0.987097,1.12148237228394,-0.121482327580452,0.971355974674225,0.972602739726027
"88920","18216-05","2026-05-20",0.401316,0.980645,1.20132219791412,0.201322168111801,0.931740641593933,0.918032786885246
"88921","18216-05","2026-05-20",0.45098,0.987097,1.00548088550568,0.00548092043027282,0.94676661491394,0.971014492753623
"88922","18216-05","2026-05-20",0.453947,0.980645,0.626225531101227,-0.0401904545724392,0.921972274780273,0.956521739130435
"88923","18216-05","2026-05-20",0.464052,0.987097,1.07617628574371,-0.0761762484908104,0.971251547336578,0.971830985915493
"88924","18216-05","2026-05-20",0.447368,0.980645,0.466617435216904,-0.0270680841058493,0.87760990858078,0.911764705882353
"88925","18216-05","2026-05-20",0.4,0.967742,0.527992844581604,0.121928013861179,0.874528467655182,0.866666666666667
"88926","18216-05","2026-05-20",0.379085,0.987097,0.486262530088425,0.204269126057625,0.843888282775879,0.706896551724138
"88927","18216-05","2026-05-20",0.375,0.980645,0.679080784320831,0.223177388310432,0.876479387283325,0.807017543859649
"88928","18216-05","2026-05-20",0.237705,0.787097,0.593444526195526,0.379559844732285,0.881238877773285,0.862068965517241
"88929","18216-05","2026-05-20",0.041379,0.935484,-0.290000021457672,1,0.653195738792419,-0.166666666666667
"88930","18216-05","2026-05-20",0.348993,0.96129,0.177033647894859,0.205873608589172,0.64899617433548,0.288461538461538
"88931","18216-05","2026-05-20",0.453947,0.980645,0.364537268877029,-0.128250390291214,0.839165806770325,0.898550724637681
"88932","18216-05","2026-05-20",0.397351,0.974194,0.484370201826096,-0.688461720943451,0.784015357494354,0.733333333333333
"88933","18216-05","2026-05-20",0.381579,0.980645,1.58398544788361,-0.752983927726746,0.854399621486664,0.844827586206897
"88934","18216-05","2026-05-20",0.197368,0.980645,0.283141195774078,0.662144064903259,0.7423295378685,0.266666666666667
"88935","18216-05","2026-05-20",0.092105,0.980645,1.57175588607788,0.833147764205933,0.916056632995605,0.785714285714286
"88936","18216-05","2026-05-20",0.045113,0.858065,1.57626938819885,0.934259295463562,0.938476026058197,0.666666666666667
"88937","18216-05","2026-05-20",0.07947,0.974194,1.45352911949158,0.846638858318329,0.910538673400879,0.833333333333333
"88938","18216-05","2026-05-20",0.065789,0.980645,1.58571815490723,0.831190705299377,0.942927241325378,0.9
"88939","18216-05","2026-05-20",0.46,0.967742,0.771414458751678,-0.0668239593505859,0.94602507352829,0.942028985507246
"88940","18216-05","2026-05-20",0.456954,0.974194,1.07974410057068,-0.0797440856695175,0.971193134784698,0.985507246376812
"88941","18216-05","2026-05-20",0.467105,0.980645,1.07689118385315,-0.0768911242485046,0.974641144275665,0.985915492957746
"88942","18216-05","2026-05-20",0.326667,0.967742,0.560216963291168,0.330509334802628,0.84710830450058,0.693877551020408
"88944","18216-05","2026-05-20",0.416107,0.96129,-1.09491848945618,0.0949184820055962,0.937657356262207,0.919354838709677
"88945","18216-05","2026-05-20",0.464052,0.987097,-1.07617628574371,-0.0761762484908104,0.971251547336578,0.971830985915493
"88946","18216-05","2026-05-20",0.463087,0.96129,-1.2339460849762,-0.628805160522461,0.917762160301208,0.927536231884058
"88947","18216-05","2026-05-20",0.456376,0.96129,-0.773342847824097,-0.570772707462311,0.913825511932373,0.926470588235294
"88948","18216-05","2026-05-20",0.419118,0.877419,-1.59770464897156,-0.655255377292633,0.962116718292236,0.982456140350877
"88949","18216-05","2026-05-20",0.446667,0.967742,-1.06571161746979,0.0657115802168846,0.950488209724426,0.955223880597015
"88950","18216-05","2026-05-20",0.5,0.980645,-1.43026781082153,-0.430267810821533,0.989578008651733,0.986842105263158
"88951","18216-05","2026-05-20",0.486842,0.980645,-1.17057073116302,-0.170570686459541,0.969463169574738,0.986486486486487
"88952","18216-05","2026-05-20",0.418301,0.987097,-1.18771123886108,0.187711253762245,0.952340662479401,1
"88953","18216-05","2026-05-20",0.371622,0.954839,-0.65347558259964,0.204828500747681,0.883671522140503,0.890909090909091
"88954","18216-05","2026-05-20",0.496644,0.96129,-0.529007792472839,-0.281494349241257,0.921431601047516,0.959459459459459
"88955","18216-05","2026-05-20",0.486842,0.980645,-0.572959065437317,-0.226594805717468,0.931426346302032,0.972972972972973
"88956","18216-05","2026-05-20",0.480263,0.980645,-0.764060497283936,-0.1984693557024,0.955227017402649,0.986301369863014
"88957","18216-05","2026-05-20",0.493333,0.967742,-0.663699984550476,-0.338085174560547,0.949100852012634,0.972972972972973
"88958","18216-05","2026-05-20",0.390728,0.974194,0.454561054706573,0.150516882538795,0.847603142261505,0.711864406779661
"88959","18216-05","2026-05-20",0.410596,0.974194,0.751300930976868,0.119573257863522,0.906114637851715,0.887096774193548
"88960","18216-05","2026-05-20",0.368421,0.980645,0.513019740581512,0.230642005801201,0.848877251148224,0.714285714285714
