"diputado_id","diputado_nombre","opportunities","binary_votes","participation_share","dimension_1_raw","se_wnominate_501","gmp","correctly_classified"
"1133","Juan Irarrázaval Rossel",276,267,0.967391304347826,-0.988123595714569,0.122871719300747,0.974040329456329,0.99625468164794
"1140","Daniel Lilayu Vivanco",276,264,0.956521739130435,-0.903686285018921,0.104423552751541,0.954689145088196,0.973484848484849
"1141","Luis Malla Valenzuela",276,241,0.873188405797101,0.344787180423737,0.0867360010743141,0.803492069244385,0.921161825726141
"1142","Daniel Manouchehri Lobos",276,233,0.844202898550725,0.561064958572388,0.0838140472769737,0.938055396080017,0.991416309012876
"1143","Cristóbal Martínez Ramírez",276,267,0.967391304347826,-0.809836089611053,0.0853100270032883,0.92384535074234,0.9812734082397
"1146","José Carlos Meza Pereira",276,249,0.902173913043478,-0.969318866729736,0.120215892791748,0.935429513454437,0.991967871485944
"1148","Javiera Morales Alvarado",276,87,0.315217391304348,0.639329791069031,0.100578151643276,0.959490478038788,0.977011494252874
"1150","Benjamín Moreno Bascur",276,271,0.981884057971015,-0.993116140365601,0.125924617052078,0.973723888397217,0.996309963099631
"1152","Gloria Naveillan Arriagada",276,244,0.884057971014493,-0.85929924249649,0.093232274055481,0.902709722518921,0.954918032786885
"1153","Coca Ericka Ñanco Vásquez",276,163,0.590579710144927,0.751131236553192,0.0840959176421165,0.942497074604034,0.98159509202454
"1157","Marlene Pérez Cartes",276,218,0.789855072463768,-0.766335129737854,0.0803408846259117,0.931510269641876,0.977064220183486
"1159","Lorena Pizarro Sierra",276,257,0.931159420289855,0.917440712451935,0.0802869573235512,0.931816041469574,0.988326848249027
"1165","Agustín Romero Leiva",276,270,0.978260869565217,-0.993044495582581,0.124136075377464,0.973627924919128,0.996296296296296
"1166","Natalia Romero Talguia",276,265,0.960144927536232,-0.616479396820068,0.0686769559979439,0.793460726737976,0.909433962264151
"1170","Luis Sánchez Ossa",276,259,0.938405797101449,-0.986490070819855,0.122864827513695,0.973982572555542,0.996138996138996
"1171","Emilia Schneider Videla",276,267,0.967391304347826,0.764781355857849,0.0797403827309608,0.949515998363495,0.98876404494382
"1172","Stephan Schubert Rubio",276,224,0.811594202898551,-0.972967624664307,0.117999538779259,0.971779763698578,0.995535714285714
"1173","Daniela Serrano Salazar",276,267,0.967391304347826,0.991220951080322,0.0765343680977821,0.953802704811096,0.99250936329588
"1174","Marco Antonio Sulantay Olivares",276,261,0.945652173913043,-0.852442920207977,0.0931667611002922,0.957064270973206,0.988505747126437
"1175","Cristián Tapia Ramos",276,224,0.811594202898551,0.327570497989655,0.0854595527052879,0.757042407989502,0.90625
"1176","Hotuiti Teao Drago",276,220,0.797101449275362,-0.803806364536285,0.0868486315011978,0.931061029434204,0.972727272727273
"1177","Carolina Tello Rojas",276,263,0.952898550724638,0.7574662566185,0.0750477164983749,0.943515777587891,0.980988593155893
"1178","Héctor Ulloa Aguilera",276,241,0.873188405797101,0.356259137392044,0.0882347449660301,0.817557215690613,0.929460580912863
"1180","Consuelo Veloso Ávila",276,262,0.949275362318841,0.729194402694702,0.080845981836319,0.939683735370636,0.980916030534351
"1181","Nelson Venegas Salazar",276,258,0.934782608695652,0.628968894481659,0.0835744738578796,0.904281914234161,0.965116279069767
"1182","Sebastián Videla Castillo",276,255,0.923913043478261,0.288333207368851,0.0817037895321846,0.742783308029175,0.870588235294118
"1183","Flor Weisse Novoa",276,193,0.699275362318841,-0.801198780536652,0.0845295935869217,0.924466371536255,0.974093264248705
"1184","Roberto Celedón Fernández",276,265,0.960144927536232,0.713096916675568,0.079803928732872,0.942151010036469,0.988679245283019
"1186","Ignacio Achurra Díaz",276,265,0.960144927536232,0.744872510433197,0.079659029841423,0.949917495250702,0.988679245283019
"1187","Carlo Arqueros Pizarro",276,268,0.971014492753623,-0.988125205039978,0.123394325375557,0.974104464054108,0.996268656716418
"1188","Marcos Barraza Gómez",276,267,0.967391304347826,0.924488961696625,0.0794708058238029,0.951607286930084,0.99250936329588
"1189","Jaime Bassa Mercado",276,261,0.945652173913043,0.790138483047485,0.0777815878391266,0.909679889678955,0.984674329501916
"1190","Enrique Bassaletti Riess",276,271,0.981884057971015,-0.993116140365601,0.119131974875927,0.973723888397217,0.996309963099631
"1191","Valentina Becerra Peña",276,264,0.956521739130435,-0.992287635803223,0.122167244553566,0.973152637481689,0.996212121212121
"1192","Lilian Betancurt Delgado",276,161,0.583333333333333,-0.0820343121886253,0.0708006620407104,0.700243353843689,0.826086956521739
"1193","Patricio Briones Moller",276,262,0.949275362318841,-0.0763376653194427,0.0680429115891457,0.755582392215729,0.854961832061069
"1194","Daniel Bustos Leal",276,271,0.981884057971015,-0.993116140365601,0.122384004294872,0.973723888397217,0.996309963099631
"1195","Carlos Carvajal Gallardo",276,249,0.902173913043478,0.340061336755753,0.0851916819810867,0.827090084552765,0.919678714859438
"1196","Priscilla Castillo Gerli",276,265,0.960144927536232,0.199255913496017,0.0714894831180573,0.726677238941193,0.860377358490566
"1197","Carlos Chandía Alarcón",276,254,0.920289855072464,-0.724691212177277,0.0730439200997353,0.87901109457016,0.956692913385827
"1198","Paz Charpentier Rajcevich",276,270,0.978260869565217,-0.992275357246399,0.124172724783421,0.973694145679474,0.996296296296296
"1199","Jaime Coloma Álamos",276,264,0.956521739130435,-0.855727970600128,0.0916783362627029,0.951068639755249,0.981060606060606
"1200","Cristian Contreras Radovic",276,260,0.942028985507246,-0.470514535903931,0.0706568658351898,0.684837520122528,0.869230769230769
"1201","Flor Contreras Vivallo",276,261,0.945652173913043,-0.0715738758444786,0.0685770809650421,0.754287958145142,0.85823754789272
"1202","Eduardo Cretton Rebolledo",276,266,0.963768115942029,-0.901573121547699,0.10221055150032,0.947741866111755,0.969924812030075
"1203","Sebastián Cristoffanini Jaraquemada",276,268,0.971014492753623,-0.988125205039978,0.121584199368954,0.974104464054108,0.996268656716418
"1204","Francisco Crisóstomo Llanos",276,262,0.949275362318841,0.587814927101135,0.0835095420479774,0.922254383563995,0.99236641221374
"1205","Carlos Cuadrado Prats",276,242,0.876811594202899,0.476959764957428,0.0876006484031677,0.8883096575737,0.946280991735537
"1206","Carolina Cucumides Calderón",276,267,0.967391304347826,0.604688107967377,0.0825720950961113,0.92266184091568,0.98501872659176
"1207","Valentina Cáceres Monsálvez",276,249,0.902173913043478,0.701583206653595,0.0809471309185028,0.939255237579346,0.983935742971888
"1208","Jorge Díaz Ibarra",276,255,0.923913043478261,0.234107002615929,0.0779751837253571,0.743698477745056,0.886274509803922
"1209","Matías Fernández Hartwig",276,266,0.963768115942029,0.75061160326004,0.0788288861513138,0.942643523216248,0.988721804511278
"1210","Gustavo Gatica Villarroel",276,263,0.952898550724638,0.932657659053802,0.0783490091562271,0.949349403381348,0.984790874524715
"1211","Sofía González Cortés",276,265,0.960144927536232,1,0.0769674628973007,0.960482835769653,0.988679245283019
"1212","Erich Grohs Marín",276,264,0.956521739130435,-0.995947360992432,0.122628688812256,0.944227755069733,0.962121212121212
"1213","Irací Hassler Jacob",276,267,0.967391304347826,0.924488961696625,0.0807541236281395,0.951607286930084,0.99250936329588
"1214","Constanza Hube Portus",276,264,0.956521739130435,-0.916859328746796,0.10548759251833,0.953378736972809,0.973484848484849
