"diputado_id","diputado_nombre","n_success","baseline_coord","bootstrap_mean","bootstrap_sd","q025","q975","interval_width"
"1073","Juan Santana Castillo",200,0.762329995632172,0.811424291804433,0.103206196280047,0.649376747012138,1,0.350623252987862
"1074","Marisela Santibáñez Novoa",200,0.81469863653183,0.82326955428347,0.0902809042866225,0.67847676128149,0.999305821955204,0.320829060673714
"1075","Diego Schalper Sepúlveda",200,-0.809191346168518,-0.680968868434429,0.203309895178473,-0.961633794009686,-0.354227424412966,0.60740636959672
"1077","Raúl Soto Mardones",200,0.402703404426575,0.404260178171098,0.132299977113312,0.113832907937467,0.593133236467838,0.479300328530371
"1082","Cristóbal Urruticoechea Ríos",200,-0.999343276023865,-0.817417774349451,0.200442150710959,-1,-0.431229855120182,0.568770144879818
"1086","Gonzalo Winter Etcheberry",200,0.725313663482666,0.753438349217176,0.0890606299868176,0.605496962368488,0.925866594910622,0.320369632542133
"1087","Gael Yeomans Araya",200,0.738458812236786,0.764108556360006,0.0942432277707465,0.606437845528126,0.956015226244927,0.349577380716801
"1099","Jaime Araya Guerrero",200,0.434719085693359,0.431810792982578,0.138740458542577,0.151637829095125,0.64127092808485,0.489633098989725
"1100","Cristián Araya Lerdo de Tejada",200,-0.992467880249023,-0.898764853328466,0.139722272998234,-1,-0.547940096259117,0.452059903740883
"1102","Roberto Arroyo Muñoz",200,-0.687252938747406,-0.534849569797516,0.154364925356963,-0.782873296737671,-0.282142032682896,0.500731264054775
"1104","Chiara Barchiesi Chávez",200,-0.98593544960022,-0.883277499675751,0.136230830883928,-1,-0.523584309220314,0.476415690779686
"1105","Héctor Barría Angulo",200,0.27749314904213,0.300354925092543,0.123623305940862,-0.00372367438976651,0.4790482647717,0.482771939161466
"1108","Juan Carlos Beltrán Silva",200,-0.75402969121933,-0.59453946724534,0.150460325517962,-0.836026385426521,-0.306709047406912,0.52931733801961
"1110","Carlos Bianchi Chelech",200,0.335209548473358,0.344253493596334,0.128095805001407,0.0687907945364714,0.541537326574326,0.472746532037854
"1114","Félix Bugueño Sotelo",200,0.675113379955292,0.688864997792989,0.0848953764239897,0.529121774435043,0.818629102408886,0.289507327973843
"1116","Felipe Camaño Cárdenas",200,0.213547468185425,0.241235558772169,0.123118970135684,-0.0211090893018991,0.426154493540525,0.447263582842425
"1117","Nathalie Castillo Rojas",200,0.920069932937622,0.930797924399376,0.040924560664799,0.85491113960743,1,0.14508886039257
"1119","Sara Concha Smith",200,-0.725470304489136,-0.573211916908622,0.152477362698892,-0.81736036837101,-0.298414744436741,0.518945623934269
"1122","Luis Alberto Cuello Peña y Lillo",200,0.980134606361389,0.973856736421585,0.0365959626647154,0.908515687286854,1,0.0914843127131462
"1127","Lorena Fries Monleón",200,0.757234036922455,0.77694766946137,0.0868917224224869,0.623961591720581,0.935106256604195,0.311144664883614
"1128","Ana María Gazmuri Vieira",200,0.902786135673523,0.910106833353639,0.0784756818117045,0.725461339950562,1,0.274538660049438
"1131","Mauro González Villarroel",200,-0.743403375148773,-0.585670900046825,0.154256158721451,-0.822927838563919,-0.295145627856255,0.527782210707665
"1132","Jorge Guzmán Zepeda",200,-0.730028450489044,-0.595786807239056,0.18071324060882,-0.841985823214054,-0.280219093710184,0.56176672950387
"1133","Juan Irarrázaval Rossel",200,-0.988123595714569,-0.891081438064575,0.136763124322568,-0.998005853593349,-0.54229639172554,0.455709461867809
"1140","Daniel Lilayu Vivanco",200,-0.903686285018921,-0.789592399150133,0.194127404887291,-1,-0.40511991456151,0.59488008543849
"1141","Luis Malla Valenzuela",200,0.344787180423737,0.363749728061375,0.118392326671315,0.11305501870811,0.53805822879076,0.42500321008265
"1142","Daniel Manouchehri Lobos",200,0.561064958572388,0.578758499380201,0.101014475201714,0.320656073838472,0.723288716375828,0.402632642537355
"1143","Cristóbal Martínez Ramírez",200,-0.809836089611053,-0.642584804445505,0.156077888323689,-0.867819963395596,-0.326353960484266,0.541466002911329
"1146","José Carlos Meza Pereira",200,-0.969318866729736,-0.882340412437916,0.146214327074634,-1,-0.538080260157585,0.461919739842415
"1148","Javiera Morales Alvarado",128,0.639329791069031,0.663928260561079,0.0454617606652018,0.567218212783337,0.7387291893363,0.171510976552963
"1150","Benjamín Moreno Bascur",200,-0.993116140365601,-0.897821471244097,0.138587895960925,-0.99993991702795,-0.547968079149723,0.451971837878227
"1152","Gloria Naveillan Arriagada",200,-0.85929924249649,-0.751897674798965,0.221384097395213,-1,-0.411312198638916,0.588687801361084
"1153","Coca Ericka Ñanco Vásquez",200,0.751131236553192,0.786941963359714,0.10011854485307,0.632666957378388,1,0.367333042621612
"1157","Marlene Pérez Cartes",200,-0.766335129737854,-0.603250935450196,0.155275863335285,-0.829301799833775,-0.283090803772211,0.546210996061564
"1159","Lorena Pizarro Sierra",200,0.917440712451935,0.928951625823975,0.0353692154465435,0.867771711945534,1,0.132228288054466
"1165","Agustín Romero Leiva",200,-0.993044495582581,-0.897827069014311,0.138600460804846,-0.999938264489174,-0.547977524995804,0.45196073949337
"1166","Natalia Romero Talguia",200,-0.616479396820068,-0.465988834947348,0.154092630021402,-0.69505789577961,-0.214281213656068,0.480776682123542
"1170","Luis Sánchez Ossa",200,-0.986490070819855,-0.888640076220036,0.135886932035196,-0.999809001386166,-0.547968079149723,0.451840922236443
"1171","Emilia Schneider Videla",200,0.764781355857849,0.785108527541161,0.0868617113597494,0.636784268915653,0.945044684410095,0.308260415494442
"1172","Stephan Schubert Rubio",200,-0.972967624664307,-0.877582813799381,0.136490498455701,-0.991227643191814,-0.53362076729536,0.457606875896454
"1173","Daniela Serrano Salazar",200,0.991220951080322,0.980908954143524,0.038115092070256,0.908507300913334,1,0.0914926990866661
"1174","Marco Antonio Sulantay Olivares",200,-0.852442920207977,-0.688684421479702,0.151416543606637,-0.911394140124321,-0.381131789833307,0.530262350291014
"1175","Cristián Tapia Ramos",200,0.327570497989655,0.334868948280346,0.129798665008427,0.0456136307213455,0.54730246514082,0.501688834419474
"1176","Hotuiti Teao Drago",200,-0.803806364536285,-0.638761242702603,0.153412387135882,-0.859873889386654,-0.332712116092443,0.52716177329421
"1177","Carolina Tello Rojas",200,0.7574662566185,0.784611733555794,0.0850444757588842,0.651998700201511,1,0.348001299798489
"1178","Héctor Ulloa Aguilera",200,0.356259137392044,0.363022964335978,0.129493870199545,0.0871562881395221,0.556078843772411,0.468922555632889
"1180","Consuelo Veloso Ávila",200,0.729194402694702,0.756972712054849,0.093688990086957,0.59398552775383,0.955412843823433,0.361427316069603
"1181","Nelson Venegas Salazar",200,0.628968894481659,0.643828817214817,0.114831369625998,0.372695225477219,0.808308640122414,0.435613414645195
"1182","Sebastián Videla Castillo",200,0.288333207368851,0.312708030892536,0.113188832498272,0.0889265069738031,0.479442149400711,0.390515642426908
"1183","Flor Weisse Novoa",200,-0.801198780536652,-0.639494152069092,0.15501436167191,-0.860719142854214,-0.317522227019071,0.543196915835142
"1184","Roberto Celedón Fernández",200,0.713096916675568,0.734471485763788,0.0876888784787473,0.580996271967888,0.896865822374821,0.315869550406933
"1186","Ignacio Achurra Díaz",200,0.744872510433197,0.764578431546688,0.0852624004196844,0.615522900223732,0.929183530807495,0.313660630583763
"1187","Carlo Arqueros Pizarro",200,-0.988125205039978,-0.891032855063677,0.136688224297723,-0.99783790409565,-0.542207185924053,0.455630718171597
"1188","Marcos Barraza Gómez",200,0.924488961696625,0.937033416032791,0.0425152135579103,0.877146780490875,1,0.122853219509125
"1189","Jaime Bassa Mercado",200,0.790138483047485,0.82144383572042,0.0882564879251097,0.679655760526657,0.989554663002491,0.309898902475834
"1190","Enrique Bassaletti Riess",200,-0.993116140365601,-0.897836679667234,0.138615940665781,-0.999911589920521,-0.547953666746616,0.451957923173904
"1191","Valentina Becerra Peña",200,-0.992287635803223,-0.899676871448755,0.140128784920696,-1,-0.547928322851658,0.452071677148342
"1192","Lilian Betancurt Delgado",200,-0.0820343121886253,-7.89551925845444e-05,0.11698972924389,-0.20417441688478,0.223004549369216,0.427178966253996
"1193","Patricio Briones Moller",200,-0.0763376653194427,-0.00213730710500386,0.113654339928445,-0.219284496456385,0.195871288701892,0.415155785158277
"1194","Daniel Bustos Leal",200,-0.993116140365601,-0.897805296033621,0.138578463539502,-0.999939256906509,-0.547968079149723,0.451971177756786
"1195","Carlos Carvajal Gallardo",200,0.340061336755753,0.336943878197344,0.140908179713359,0.0227721594797913,0.544967602193355,0.522195442713564
"1196","Priscilla Castillo Gerli",200,0.199255913496017,0.219370866324753,0.143581952388651,-0.107808955200016,0.4340725928545,0.541881548054516
"1197","Carlos Chandía Alarcón",200,-0.724691212177277,-0.571874796673655,0.157437401110867,-0.807890871167183,-0.318491335213184,0.489399535953999
"1198","Paz Charpentier Rajcevich",200,-0.992275357246399,-0.897107451111078,0.138649030914108,-0.99955053627491,-0.547940096259117,0.451610440015793
