deputy_id,deputy_name,district,servel_candidate_code,servel_candidate_name,electoral_party,electoral_pact,electoral_subpact,source_url,match_method,match_score,match_confidence
1105,Héctor Barría Angulo,25,66025056,HECTOR BARRIA ANGULO,PARTIDO DEMOCRATA CRISTIANO,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1107,María Francisca Bello Campos,6,66006061,FRANCISCA BELLO CAMPOS,FRENTE AMPLIO,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_fuzzy_name,0.8835,medium
1108,Juan Carlos Beltrán Silva,22,66022072,JUAN CARLOS BELTRAN SILVA,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1110,Carlos Bianchi Chelech,28,66028067,CARLOS ANTONIO KARIM BIANCHI CHELECH,INDEPENDIENTES,CANDIDATURA INDEPENDIENTE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_fuzzy_name,0.7914,medium
1114,Félix Bugueño Sotelo,16,66016056,FELIX BUGUEÑO SOTELO,FRENTE AMPLIO,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1116,Felipe Camaño Cárdenas,19,66019062,FELIPE CAMAÑO CARDENAS,PARTIDO DEMOCRATA CRISTIANO,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1117,Nathalie Castillo Rojas,5,66005061,NATHALIE CASTILLO ROJAS,PARTIDO COMUNISTA DE CHILE,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1119,Sara Concha Smith,19,66019095,SARA CONCHA SMITH,PARTIDO SOCIAL CRISTIANO,CAMBIO POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1122,Luis Alberto Cuello Peña y Lillo,7,66007063,LUIS CUELLO PEÑA Y LILLO,PARTIDO COMUNISTA DE CHILE,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_fuzzy_name,0.8857,medium
1127,Lorena Fries Monleón,10,66010062,LORENA FRIES MONLEON,FRENTE AMPLIO,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
