observed_date,deputy_id,deputy_name,party_reported,caucus_reported,alignment_reported,profile_url,source_type
2026-09-02,1223,Hans Marowski Cuevas,Partido Nacional Libertario,Comité Partido Nacional Libertarios,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1223,camara_snapshot
2026-09-02,1224,Cristian Mella Andaur,Partido Demócrata Cristiano,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1224,camara_snapshot
2026-09-02,1225,Cristian Menchaca Pinochet,Independientes,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1225,camara_snapshot
2026-09-02,1226,José Montalva Feuerhake,Independientes,Partido Por la Democracia e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1226,camara_snapshot
2026-09-02,1227,Claudia Mora Vega,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1227,camara_snapshot
2026-09-02,1228,Paulina Muñoz Minte,Partido Nacional Libertario,Comité Partido Nacional Libertarios,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1228,camara_snapshot
2026-09-02,1229,Javier Muñoz Riquelme,Partido Demócrata Cristiano,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1229,camara_snapshot
2026-09-02,1230,Alex Nahuelquin Nahuelquin,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1230,camara_snapshot
2026-09-02,1231,Ximena Naranjo Pinto,Independientes,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1231,camara_snapshot
2026-09-02,1232,Cristian Neira Martínez,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1232,camara_snapshot
