observed_date,deputy_id,deputy_name,party_reported,caucus_reported,alignment_reported,profile_url,source_type
2026-09-04,1248,Felipe Ross Correa,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1248,camara_snapshot
2026-09-04,1249,Omar Sabat Guzmán,Independientes,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1249,camara_snapshot
2026-09-04,1250,Bernardo Salinas Maya,Independientes,Comité Comunista e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1250,camara_snapshot
2026-09-04,1251,Macarena Santelices Cañas,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1251,camara_snapshot
2026-09-04,1252,Constanza Schonhaut Soto,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1252,camara_snapshot
2026-09-04,1253,Fernando Ugarte Tejeda,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1253,camara_snapshot
2026-09-04,1254,Ignacio Urcullú Clèment-Lund,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1254,camara_snapshot
2026-09-04,1255,Eileen Urqueta Rojas,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1255,camara_snapshot
2026-09-04,1256,Tatiana Urrutia Herrera,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1256,camara_snapshot
2026-09-04,1257,Alejandra Valdebenito Torres,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1257,camara_snapshot
2026-09-04,1258,Guillermo Valdés Carmona,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1258,camara_snapshot
2026-09-04,1259,Juan Marcelo Valenzuela Henríquez,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1259,camara_snapshot
2026-09-04,1260,César Valenzuela Maass,Partido Socialista,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1260,camara_snapshot
2026-09-04,1261,Daniel Valenzuela Salazar,Independientes,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1261,camara_snapshot
2026-09-04,1262,Diego Vergara Rodríguez,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1262,camara_snapshot
2026-09-04,1263,Sebastián Zamora Soto,Independientes,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1263,camara_snapshot
2026-09-04,1264,Fernando Zamorano Peralta,Partido Por la Democracia,Partido Por la Democracia e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1264,camara_snapshot
