deputy_id,deputy_name,term_start,party_at_term_start,electoral_party_slot,electoral_pact,basis,confidence,source_url_primary,source_url_secondary,source_note,frozen_on
1065,Guillermo Ramírez Diez,2026-03-11,Unión Demócrata Independiente,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1065,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1073,Juan Santana Castillo,2026-03-11,Partido Socialista,PARTIDO SOCIALISTA DE CHILE,UNIDAD POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1073,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1074,Marisela Santibáñez Novoa,2026-03-11,Independientes,PARTIDO COMUNISTA DE CHILE,UNIDAD POR CHILE,bcn_biografia,high,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marisela_del_Carmen_Santib%C3%A1%C3%B1ez_Novoa,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,BCN: reelecta en 2025 como independiente en cupo PC; sin afiliación política desde 2024.,2026-09-02
1075,Diego Schalper Sepúlveda,2026-03-11,Renovación Nacional,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1075,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1077,Raúl Soto Mardones,2026-03-11,Partido Por la Democracia,PARTIDO POR LA DEMOCRACIA,UNIDAD POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1077,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1082,Cristóbal Urruticoechea Ríos,2026-03-11,Partido Nacional Libertario,PARTIDO NACIONAL LIBERTARIO,CAMBIO POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1082,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1086,Gonzalo Winter Etcheberry,2026-03-11,Frente Amplio,FRENTE AMPLIO,UNIDAD POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1086,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1087,Gael Yeomans Araya,2026-03-11,Frente Amplio,FRENTE AMPLIO,UNIDAD POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1087,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1099,Jaime Araya Guerrero,2026-03-11,Independientes,PARTIDO POR LA DEMOCRACIA,UNIDAD POR CHILE,bcn_biografia,high,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Araya_Guerrero,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,BCN: reelecto en 2025 como independiente en cupo PPD.,2026-09-02
1100,Cristián Araya Lerdo de Tejada,2026-03-11,Partido Republicano,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1100,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1102,Roberto Arroyo Muñoz,2026-03-11,Partido Social Cristiano,PARTIDO SOCIAL CRISTIANO,CAMBIO POR CHILE,bcn_biografia,high,https://www.bcn.cl/historiapolitica/resenas_biograficas/wiki/Roberto_Arroyo_Mu%C3%B1oz,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,BCN: reelecto y asume el período 2026-2030 representando al Partido Social Cristiano.,2026-09-02
1104,Chiara Barchiesi Chávez,2026-03-11,Partido Republicano,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1104,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1105,Héctor Barría Angulo,2026-03-11,Partido Demócrata Cristiano,PARTIDO DEMOCRATA CRISTIANO,UNIDAD POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1105,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1107,María Francisca Bello Campos,2026-03-11,Frente Amplio,FRENTE AMPLIO,UNIDAD POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1107,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1108,Juan Carlos Beltrán Silva,2026-03-11,Renovación Nacional,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1108,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
