deputy_id,deputy_name,valid_from,valid_to,party,caucus,alignment,basis,confidence,date_precision,source_url,source_note,official_snapshot_conflict
1077,Raúl Soto Mardones,2026-03-11,,Partido Por la Democracia,Partido Por la Democracia e Independientes,oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1077,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1082,Cristóbal Urruticoechea Ríos,2026-03-11,,Partido Nacional Libertario,Comité Partido Nacional Libertarios,no_alineado,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1082,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1086,Gonzalo Winter Etcheberry,2026-03-11,,Frente Amplio,Frente Amplio,oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1086,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1087,Gael Yeomans Araya,2026-03-11,,Frente Amplio,Frente Amplio,oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1087,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1099,Jaime Araya Guerrero,2026-03-11,,Independientes,Partido Por la Democracia e Independientes,oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1099,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1100,Cristián Araya Lerdo de Tejada,2026-03-11,,Partido Republicano,Comité Partido Republicano,oficialismo,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1100,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1102,Roberto Arroyo Muñoz,2026-03-11,2026-08-16,Partido Social Cristiano,Por definir,oficialismo,documented_event_chain,high,day,https://www.latercera.com/politica/noticia/pdg-recupera-sus-14-diputados-tras-el-regreso-de-roberto-arroyo/,Estado anterior reconstruido a partir del primer cambio documentado.,0
1102,Roberto Arroyo Muñoz,2026-08-17,,Partido de la Gente,Comité Partido de la Gente,no_alineado,documented_event_chain,high,day,https://www.latercera.com/politica/noticia/pdg-recupera-sus-14-diputados-tras-el-regreso-de-roberto-arroyo/,Se concretó su reincorporación al PDG y a su bancada. La ficha de Cámara seguía mostrando Partido Social Cristiano / Por definir al momento de la auditoría. | Conflicto con snapshot oficial: party: Cámara=Independientes / evidencia=Partido de la Gente,1
1104,Chiara Barchiesi Chávez,2026-03-11,,Partido Republicano,Comité Partido Republicano,oficialismo,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1104,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1105,Héctor Barría Angulo,2026-03-11,,Partido Demócrata Cristiano,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1105,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
