deputy_id,deputy_name,district,electoral_party_slot,electoral_pact,current_party_camara,current_caucus_camara,comparison_status,has_documented_2026_event,event_dates,baseline_action,review_priority
1021,Andrés Celis Montt,7,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1025,Catalina Del Real Mihovilovic,11,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,Partido Republicano,Comité Partido Republicano,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1028,Eduardo Durán Salinas,13,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1038,Marcos Ilabaca Cerda,24,PARTIDO SOCIALISTA DE CHILE,UNIDAD POR CHILE,Partido Socialista,"Socialista, Liberal, Radical e Independientes",slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1039,Pamela Jiles Moreno,12,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,Partido de la Gente,Comité Partido de la Gente,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1044,Raúl Leiva Carvajal,14,PARTIDO SOCIALISTA DE CHILE,UNIDAD POR CHILE,Partido Socialista,"Socialista, Liberal, Radical e Independientes",slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1054,Francesca Muñoz González,20,PARTIDO SOCIAL CRISTIANO,CAMBIO POR CHILE,Partido Social Cristiano,Por definir,slot_coincide_partido_actual,1,2026-06-06,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1056,Emilia Nuyado Ancapichun,25,PARTIDO SOCIALISTA DE CHILE,UNIDAD POR CHILE,Partido Socialista,"Socialista, Liberal, Radical e Independientes",slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1059,Ximena Ossandón Irarrázabal,12,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1060,Luis Pardo Sáinz,6,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1061,Andrea Parra Sauterel,22,PARTIDO POR LA DEMOCRACIA,UNIDAD POR CHILE,Partido Por la Democracia,Partido Por la Democracia e Independientes,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1062,Joanna Pérez Olea,21,PARTIDO DEMOCRATAS CHILE,CHILE GRANDE Y UNIDO,Partido Demócratas Chile,"Renovación Nacional, Evopoli e Independientes",slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1065,Guillermo Ramírez Diez,9,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,Unión Demócrata Independiente,Unión Demócrata Independiente,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
