"diputado_id","diputado_nombre","dimension_1_z_early","rank_aligned_early","binary_votes_selected_early","dimension_1_z_late","rank_aligned_late","binary_votes_selected_late","comparison","delta_z_late_minus_early","abs_delta_z","rank_change_late_minus_early","abs_rank_change"
"1254","Ignacio Urcullú Clèment-Lund",-0.920575625610012,43,138,-1.37889594445453,15,133,"raw_halves",-0.458320318844516,0.458320318844516,-28,28
"1247","Javiera Rodríguez Pascual",-0.920575625610012,40,138,-1.37889594445453,14,133,"raw_halves",-0.458320318844516,0.458320318844516,-26,26
"1194","Daniel Bustos Leal",-0.920575625610012,34,138,-1.37889594445453,11,133,"raw_halves",-0.458320318844516,0.458320318844516,-23,23
"1253","Fernando Ugarte Tejeda",-0.920575625610012,42,138,-1.37883282895468,16,133,"raw_halves",-0.458257203344672,0.458257203344672,-26,26
"1198","Paz Charpentier Rajcevich",-0.920575625610012,35,138,-1.37863417857669,17,132,"raw_halves",-0.458058552966678,0.458058552966678,-18,18
"1216","Stephanie Jéldrez Ortiz",-0.920632441147284,26,137,-1.37863417857669,18,132,"raw_halves",-0.458001737429407,0.458001737429407,-8,8
"1262","Diego Vergara Rodríguez",-0.920575625610012,44,138,-1.37817418141448,19,132,"raw_halves",-0.457598555804472,0.457598555804472,-25,25
"1227","Claudia Mora Vega",-0.942865006039768,20,130,-0.490512301487188,72,133,"raw_halves",0.452352704552581,0.452352704552581,52,52
"1172","Stephan Schubert Rubio",-0.884170497785566,51,103,-1.32815183694877,24,121,"raw_halves",-0.443981339163208,0.443981339163208,-27,27
"1244","Claudia Reyes Larenas",-0.874406341880179,54,137,-1.30490186376335,28,124,"raw_halves",-0.43049552188317,0.43049552188317,-26,26
"1203","Sebastián Cristoffanini Jaraquemada",-0.920575625610012,36,138,-1.35089294665538,21,130,"raw_halves",-0.430317321045368,0.430317321045368,-15,15
"1187","Carlo Arqueros Pizarro",-0.920575625610012,31,138,-1.35089294665538,20,130,"raw_halves",-0.430317321045368,0.430317321045368,-11,11
"1232","Cristian Neira Martínez",-0.920721410532572,23,137,-1.35075841760193,22,129,"raw_halves",-0.430037007069357,0.430037007069357,-1,1
"1133","Juan Irarrázaval Rossel",-0.920701223327021,25,137,-1.35068046618778,23,130,"raw_halves",-0.429979242860758,0.429979242860758,-2,2
"1249","Omar Sabat Guzmán",-1.05821636348068,13,131,-0.629768605294568,51,128,"raw_halves",0.428447758186111,0.428447758186111,38,38
"1012","Boris Barrera Moreno",1.80502657060544,152,133,1.38002571609267,142,134,"raw_halves",-0.425000854512779,0.425000854512779,-10,10
"1173","Daniela Serrano Salazar",1.80502657060544,153,133,1.38002571609267,143,134,"raw_halves",-0.425000854512779,0.425000854512779,-10,10
"1025","Catalina Del Real Mihovilovic",-0.902169784862514,49,130,-1.32101039776926,26,97,"raw_halves",-0.418840612906742,0.418840612906742,-23,23
