boletin,titulo,origin_initiative,topic_primary,topic_source_layer,all_rollcalls,nonunanimous_rollcalls,eligible_lop_0025,eligible_lop_0050,eligible_lop_0100,share_lop_0025,share_lop_0050,share_lop_0100,general_rollcalls,particular_rollcalls,other_stage_rollcalls
17354-37,"Autoriza erigir un monumento en memoria del ex Presidente de la República, señor Sebastián Piñera Echenique",parlamentario,"Cultura, patrimonio y deporte",inherited_rollcall_project,1,1,1,1,1,0.003623,0.003717,0.003876,1,0,0
17405-07,"Regula la prestación de servicios de cuidado de vehículos y limpieza de parabrisas en la vía pública, y sanciona el ejercicio no autorizado de dichas actividades",parlamentario,Seguridad,inherited_rollcall_project,1,1,1,1,1,0.003623,0.003717,0.003876,1,0,0
17471-07,Modifica la ley N° 18.119 para tipificar los delitos de robo y receptación de medidores de agua potable,parlamentario,Agua y recursos hídricos,inherited_rollcall_project,1,1,1,1,1,0.003623,0.003717,0.003876,1,0,0
17690-07,Modifica el Código Penal para disponer la intervención de la fiscalía militar en la investigación del delito de espionaje,parlamentario,Constitución y justicia,inherited_rollcall_project,1,1,1,1,1,0.003623,0.003717,0.003876,1,0,0
17757-29,Modifica la ley N° 19.327 para imponer nuevas obligaciones a los organizadores de espectáculos de fútbol profesional,parlamentario,Deportes,inherited_rollcall_project,1,1,1,1,1,0.003623,0.003717,0.003876,1,0,0
17837-13,Modifica el Código del Trabajo y otros cuerpos legales para fortalecer la protección de la salud y seguridad de las personas trabajadoras,parlamentario,Trabajo y seguridad social,inherited_rollcall_project,1,1,1,1,1,0.003623,0.003717,0.003876,1,0,0
18016-13,Modifica el Código del Trabajo en lo tocante a la jornada laboral de los trabajadores del cine y el audiovisual que indica,parlamentario,Trabajo y seguridad social,inherited_rollcall_project,1,1,1,1,1,0.003623,0.003717,0.003876,1,0,0
18107-07,"Modifica la ley N° 18.918, orgánica constitucional del Congreso Nacional, en materia de quórum necesario para revertir la declaración de inadmisibilidad recaída en proyectos de ley e indicaciones",parlamentario,Constitución y justicia,inherited_rollcall_project,1,1,1,1,1,0.003623,0.003717,0.003876,1,0,0
18211-25,"Modifica el código penal, con el objeto de tipificar el delito de ocultamiento de identidad en el contexto de eventos masivos y desórdenes públicos",parlamentario,Seguridad,period_project,1,1,1,1,1,0.003623,0.003717,0.003876,1,0,0
18259-08,"Modifica el Código de Minería y las leyes números 21.420 y 21.649, en materia de amparo minero y otras materias que indica",ejecutivo,Minería y energía,period_project,3,2,0,0,0,0.000000,0.000000,0.000000,1,2,0
16686-19,Dicta normas sobre transferencia de tecnología y conocimiento,ejecutivo,Ciencia y tecnología,inherited_rollcall_project,2,1,0,0,0,0.000000,0.000000,0.000000,0,0,2
10986-24,"Autoriza erigir un monumento, en la comuna de Lota, en memoria del escritor chileno Baldomero Lillo Figueroa",parlamentario,Cultura y comunicaciones,inherited_rollcall_project,1,0,0,0,0,0.000000,0.000000,0.000000,1,0,0
16397-15,"Modifica la ley N° 18.290, de Tránsito, para aumentar las sanciones por no usar sistemas de retención infantil y por trasladar menores de 12 años en asientos delanteros",parlamentario,Transportes y telecomunicaciones,inherited_rollcall_project,1,0,0,0,0,0.000000,0.000000,0.000000,1,0,0
16777-07,"Modifica el Código Penal, en materia de internación al territorio nacional de enfermedades animales o plagas vegetales",parlamentario,Salud,inherited_rollcall_project,1,0,0,0,0,0.000000,0.000000,0.000000,1,0,0
16944-25,Crea el tipo penal especial de daños en infraestructura penitenciaria,parlamentario,Seguridad,inherited_rollcall_project,1,0,0,0,0,0.000000,0.000000,0.000000,1,0,0
16985-06,"Establece, para el personal de Gendarmería de Chile, la obligación de efectuar declaraciones de intereses y patrimonio, en conformidad con lo dispuesto en la ley N° 20.880, sobre probidad en la función pública y prevención de los conflictos de intereses",ejecutivo,Gobierno interior y descentralización,inherited_rollcall_project,1,0,0,0,0,0.000000,0.000000,0.000000,0,0,1
17222-07,"Modifica la ley N° 18.918, orgánica constitucional del Congreso Nacional, para permitir la votación dividida de las acusaciones constitucionales, en los casos que indica",parlamentario,Constitución y justicia,inherited_rollcall_project,1,1,0,0,0,0.000000,0.000000,0.000000,1,0,0
17234-15,"Modifica el decreto ley N° 3.063, de 1979, para exigir la emisión de un permiso de circulación estandarizado en todas las comunas del país",parlamentario,Transportes y telecomunicaciones,inherited_rollcall_project,1,0,0,0,0,0.000000,0.000000,0.000000,0,1,0
17235-07,Modifica el Código Penal para crear el tipo especial de robo cometido por tumulto o multitud,parlamentario,Seguridad,inherited_rollcall_project,1,0,0,0,0,0.000000,0.000000,0.000000,1,0,0
17246-15,Modifica las leyes que indica para mejorar la fiscalización y aumentar las sanciones por evasión del pago de tarifas en el transporte público remunerado de pasajeros,parlamentario,Transportes y telecomunicaciones,inherited_rollcall_project,1,0,0,0,0,0.000000,0.000000,0.000000,0,0,1
17451-15,"Autoriza la circulación en el país de vehículos que participen en competiciones de carácter internacional o federadas, en las formas y condiciones que señala",parlamentario,Transportes y telecomunicaciones,inherited_rollcall_project,1,0,0,0,0,0.000000,0.000000,0.000000,0,0,1
17504-22,Fortalece la transparencia y probidad en la entrega de recursos por parte del Estado,parlamentario,Emergencias y desastres,inherited_rollcall_project,1,0,0,0,0,0.000000,0.000000,0.000000,1,0,0
17630-10,"Aprueba el &quot;Acuerdo entre la República de Chile y la República Federativa de Brasil para el reconocimiento recíproco de licencias de conductor&quot;, hecho en Santiago, República de Chile, el 5 de agosto de 2024.",ejecutivo,Relaciones exteriores,inherited_rollcall_project,1,0,0,0,0,0.000000,0.000000,0.000000,0,0,1
17724-34,"Reemplaza el artículo 5 bis del decreto ley N° 3.500, de 1980",ejecutivo,Mujeres y género,inherited_rollcall_project,1,0,0,0,0,0.000000,0.000000,0.000000,0,0,1
17737-14,"Modifica la ley N° 21.442, que aprueba nueva Ley de Copropiedad Inmobiliaria, a fin de facultar a los administradores de condominios para emitir certificados de residencia",parlamentario,Vivienda y territorio,inherited_rollcall_project,1,0,0,0,0,0.000000,0.000000,0.000000,1,0,0
17795-19,"Regula la creación y difusión de imitaciones digitales realistas de la imagen, cuerpo o voz de las personas, generadas mediante inteligencia artificial",parlamentario,Ciencia y tecnología,inherited_rollcall_project,1,1,0,0,0,0.000000,0.000000,0.000000,1,0,0
17880-13,Crea un nuevo Juzgado de Letras del Trabajo en Santiago y fortalece los juzgados de letras del trabajo que indica,ejecutivo,Trabajo y seguridad social,inherited_rollcall_project,1,0,0,0,0,0.000000,0.000000,0.000000,1,0,0
17956-10,"Aprueba el &quot;Acuerdo sobre transporte aéreo entre la República de Chile y el Reino de España&quot;, suscrito en Montreal, Canadá, el 1 de octubre de 2022",ejecutivo,Relaciones exteriores,inherited_rollcall_project,1,0,0,0,0,0.000000,0.000000,0.000000,0,0,1
17957-10,"Aprueba el &quot;Acuerdo entre el Gobierno de la República de Chile y el Gobierno de la República Helénica en materia de servicios aéreos&quot;, suscrito en Atenas, Grecia, el 27 de mayo de 2021",ejecutivo,Relaciones exteriores,inherited_rollcall_project,1,0,0,0,0,0.000000,0.000000,0.000000,0,0,1
17958-10,"Aprueba el &quot;Acuerdo de servicios aéreos entre el Reino de los Países Bajos y la República de Chile&quot;, suscrito en Santiago, Chile, el 24 de mayo de 2021",ejecutivo,Relaciones exteriores,inherited_rollcall_project,1,1,0,0,0,0.000000,0.000000,0.000000,0,0,1
18003-35,"Modifica la ley N° 18.700, orgánica constitucional sobre Votaciones Populares y Escrutinios, para eximir al Servicio Electoral del deber de denunciar a personas postradas y electrodependientes, por incumplimiento de la obligación de sufragar",parlamentario,Personas mayores y discapacidad,inherited_rollcall_project,1,0,0,0,0,0.000000,0.000000,0.000000,1,0,0
18043-06,"Concede, por especial gracia, la nacionalidad chilena al sacerdote alemán Wolter Josef Tilmann Dütting",parlamentario,Gobierno interior y descentralización,inherited_rollcall_project,1,1,0,0,0,0.000000,0.000000,0.000000,1,0,0
18048-06,"Concede, por especial gracia, la nacionalidad chilena a la destacada deportista juvenil colombiana María Camila Valencia Mosquera",parlamentario,Gobierno interior y descentralización,inherited_rollcall_project,1,0,0,0,0,0.000000,0.000000,0.000000,1,0,0
18157-33,Prorroga el plazo para la regularización e inscripción de derechos de aprovechamiento de aguas hasta el año 2030,parlamentario,Agua y recursos hídricos,period_project,1,0,0,0,0,0.000000,0.000000,0.000000,1,0,0
18178-10,"Aprueba el Acuerdo entre el Gobierno de la República de Chile y el Gobierno de la República de Tayikistán sobre la exención mutua del requisito de visa para titulares de pasaportes diplomáticos oficiales y de servicio, suscrito en Dushanbe, República de Tayikistán, el 9 de marzo de 2023",ejecutivo,Relaciones exteriores,period_project,1,0,0,0,0,0.000000,0.000000,0.000000,0,0,1
18210-06,Concede la nacionalidad chilena por gracia al ciudadano uruguayo Pablo Lemoine,parlamentario,Gobierno interior y descentralización,period_project,1,0,0,0,0,0.000000,0.000000,0.000000,1,0,0
18215-10,"Acuerdo de mutua exención del requisito de visa para los titulares de pasaportes diplomáticos, especiales y oficiales entre el Gobierno de la República de Chile y el Gobierno del Estado de Catar",ejecutivo,Relaciones exteriores,period_project,1,1,0,0,0,0.000000,0.000000,0.000000,0,0,1
18232-25,"Modifica la ley N° 21.659, sobre seguridad privada, para aumentar el plazo de presentación y pronunciamiento sobre los estudios de seguridad que dispone, y extiende la prórroga de vigencia de la última autorización del personal de seguridad privada que indica",ejecutivo,Seguridad,period_project,1,0,0,0,0,0.000000,0.000000,0.000000,1,0,0
18256-10,"Aprueba el Acuerdo entre la República de Chile y la República Helénica sobre el empleo remunerado de dependientes de miembros de una misión diplomática o representación consular, suscrito en Santiago, el 24 de abril de 2024",ejecutivo,Relaciones exteriores,period_project,1,0,0,0,0,0.000000,0.000000,0.000000,0,0,1
18257-10,"Aprueba el Acuerdo general sobre los privilegios e inmunidades de la Organización Internacional de Policía Criminal-INTERPOL, aprobado en Marrakech, Marruecos, el 24 de noviembre de 2025",ejecutivo,Relaciones exteriores,period_project,1,0,0,0,0,0.000000,0.000000,0.000000,0,0,1
18301-10,"Aprueba el Convenio de Transporte Aéreo entre el Gobierno de la República de Chile y el Gobierno de la República de Costa Rica, suscrito en Lima, Perú, el 13 de diciembre de 2023",ejecutivo,Relaciones exteriores,period_project,1,0,0,0,0,0.000000,0.000000,0.000000,0,0,1
18429-10,"Aprueba el Tratado entre la República de Chile y la República Federativa de Brasil sobre Asistencia Jurídica Mutua en Materia Penal, hecho en Brasilia, el 22 de abril de 2025",ejecutivo,Relaciones exteriores,period_project,1,0,0,0,0,0.000000,0.000000,0.000000,0,0,1
18524-05,Extiende vigencia y aumenta cobertura de la ley N° 21.748 y modifica normas que indica,ejecutivo,Economía y hacienda,period_project,1,0,0,0,0,0.000000,0.000000,0.000000,1,0,0
