boletin,fecha,sesion,etapa,subetapa,documento_url,fuente
18157-33,2026-08-18,,Segundo trámite constitucional / Senado,Oficio modificaciones a Cámara de Origen,https://www.camara.cl/verDoc.aspx?prmID=37057&prmTIPO=OFICIOPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18822&prmBOLETIN=18157-33
18158-13,2026-04-06,,Primer trámite constitucional / C. Diputados,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18389&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18823&prmBOLETIN=18158-13
18159-11,2026-04-07,,Primer trámite constitucional / Senado,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18386&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18820&prmBOLETIN=18159-11
18159-11,2026-04-15,,Primer trámite constitucional / Senado,Primer informe de comisión,https://www.camara.cl/verDoc.aspx?prmID=27931&prmTIPO=INFORMEPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18820&prmBOLETIN=18159-11
18159-11,2026-06-17,33ª / 374,Primer trámite constitucional / Senado,Discusión general,https://www.camara.cl/verDoc.aspx?prmID=80506&prmTIPO=BOLETINOFICIAL,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18820&prmBOLETIN=18159-11
18159-11,2026-06-17,,Primer trámite constitucional / Senado,Oficio de ley a Cámara Revisora,https://www.camara.cl/verDoc.aspx?prmID=36755&prmTIPO=OFICIOPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18820&prmBOLETIN=18159-11
18160-07,2026-04-07,,Primer trámite constitucional / C. Diputados,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18390&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18824&prmBOLETIN=18160-07
18161-07,2026-04-07,,Primer trámite constitucional / C. Diputados,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18391&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18825&prmBOLETIN=18161-07
18161-07,2026-04-20,,Primer trámite constitucional / C. Diputados,Oficio N°21.165. Comunica que la Cámara de Diputados accedió a la solicitud para fusionar el proyecto boletín N° 18.155-25 con el proyecto boletín N° 18.161-07.,https://www.camara.cl/verDoc.aspx?prmID=36053&prmTIPO=OFICIOPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18825&prmBOLETIN=18161-07
18161-07,2026-05-04,,Primer trámite constitucional / C. Diputados,S.E. el Presidente de la República formula indicación al proyecto. (029-374).,https://www.camara.cl/verDoc.aspx?prmID=36104&prmTIPO=OFICIOPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18825&prmBOLETIN=18161-07
18161-07,2026-05-06,,Primer trámite constitucional / C. Diputados,Primer informe de comisión,https://www.camara.cl/verDoc.aspx?prmID=27963&prmTIPO=INFORMEPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18825&prmBOLETIN=18161-07
18161-07,2026-05-13,,Primer trámite constitucional / C. Diputados,Oficio de ley a Cámara Revisora,https://www.camara.cl/verDoc.aspx?prmID=36170&prmTIPO=OFICIOPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18825&prmBOLETIN=18161-07
18161-07,2026-09-01,53ª / 374,Segundo trámite constitucional / Senado,Cuenta del Mensaje 288-374 que retira y hace presente la urgencia Simple,,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18825&prmBOLETIN=18161-07
18162-07,2026-04-08,,Primer trámite constitucional / Senado,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18387&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18821&prmBOLETIN=18162-07
18162-07,2026-04-08,,Primer trámite constitucional / Senado,Oficio N° 103-26 a la Corte Suprema,https://www.camara.cl/verDoc.aspx?prmID=36028&prmTIPO=OFICIOPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18821&prmBOLETIN=18162-07
18162-07,2026-04-08,,Primer trámite constitucional / Senado,Oficio N° a la Corte Suprema,https://www.camara.cl/verDoc.aspx?prmID=36027&prmTIPO=OFICIOPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18821&prmBOLETIN=18162-07
18163-14,2026-04-08,,Primer trámite constitucional / C. Diputados,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18394&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18828&prmBOLETIN=18163-14
18164-17,2026-04-08,,Primer trámite constitucional / Senado,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18392&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18826&prmBOLETIN=18164-17
18165-07,2026-04-08,,Primer trámite constitucional / Senado,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18393&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18827&prmBOLETIN=18165-07
18166-24,2026-04-08,,Primer trámite constitucional / C. Diputados,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18395&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18829&prmBOLETIN=18166-24
18166-24,2026-07-17,,Primer trámite constitucional / C. Diputados,S.E. el Presidente de la República formula indicaciones al proyecto. (107-374). Incluye informe financiero N° 173/17.07.2026.,https://www.camara.cl/verDoc.aspx?prmID=36870&prmTIPO=OFICIOPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18829&prmBOLETIN=18166-24
18166-24,2026-08-10,,Primer trámite constitucional / C. Diputados,Primer informe de comisión,https://www.camara.cl/verDoc.aspx?prmID=28158&prmTIPO=INFORMEPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18829&prmBOLETIN=18166-24
18167-11,2026-04-08,,Primer trámite constitucional / C. Diputados,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18396&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18830&prmBOLETIN=18167-11
18168-03,2026-04-08,,Primer trámite constitucional / C. Diputados,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18397&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18831&prmBOLETIN=18168-03
18169-07,2026-04-09,,Primer trámite constitucional / C. Diputados,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18398&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18832&prmBOLETIN=18169-07
18170-13,2026-04-09,,Primer trámite constitucional / C. Diputados,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18399&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18833&prmBOLETIN=18170-13
18171-13,2026-04-09,,Primer trámite constitucional / C. Diputados,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18400&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18834&prmBOLETIN=18171-13
18172-21,2026-04-08,,Primer trámite constitucional / Senado,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18402&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18836&prmBOLETIN=18172-21
18173-21,2026-04-08,,Primer trámite constitucional / Senado,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18401&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18835&prmBOLETIN=18173-21
18174-07,2026-04-13,,Primer trámite constitucional / C. Diputados,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18405&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18839&prmBOLETIN=18174-07
18175-02,2026-04-10,,Primer trámite constitucional / C. Diputados,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18406&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18840&prmBOLETIN=18175-02
18176-35,2026-04-14,,Primer trámite constitucional / Senado,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18403&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18837&prmBOLETIN=18176-35
18176-35,2026-05-13,,Primer trámite constitucional / Senado,Primer informe de comisión,https://www.camara.cl/verDoc.aspx?prmID=27974&prmTIPO=INFORMEPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18837&prmBOLETIN=18176-35
18176-35,2026-06-09,28ª / 374,Primer trámite constitucional / Senado,Discusión general,https://www.camara.cl/verDoc.aspx?prmID=80423&prmTIPO=BOLETINOFICIAL,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18837&prmBOLETIN=18176-35
18176-35,2026-06-09,,Primer trámite constitucional / Senado,Oficio de ley a Cámara Revisora,https://www.camara.cl/verDoc.aspx?prmID=36703&prmTIPO=OFICIOPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18837&prmBOLETIN=18176-35
