author_id,author_name,author_chamber,authored_bills,coauthored_bills,solo_bills,unique_coauthors,weighted_degree
815,Sergio Bobadilla Muñoz,Diputado,16,16,0,44,129
1211,Sofía González Cortés,Diputado,15,15,0,52,108
1172,Stephan Schubert Rubio,Diputado,1,1,0,6,6
1216,Stephanie Jéldrez Ortiz,Diputado,6,6,0,37,44
1243,Tamara Ramírez Ramírez,Diputado,19,19,0,58,135
1256,Tatiana Urrutia Herrera,Diputado,9,9,0,38,62
1219,Tomás Kast Sommerhoff,Diputado,19,19,0,67,147
1191,Valentina Becerra Peña,Diputado,7,7,0,42,59
1207,Valentina Cáceres Monsálvez,Diputado,13,13,0,41,95
1231,Ximena Naranjo Pinto,Diputado,20,20,0,46,158
1059,Ximena Ossandón Irarrázabal,Diputado,36,34,2,74,216
1240,Zandra Parisi Fernández,Diputado,17,16,1,59,99
1017,Álvaro Carter Fernández,Diputado,6,6,0,19,42
1215,Álvaro Jofré Cáceres,Diputado,13,13,0,56,83
1238,Álvaro Ortiz Vera,Diputado,13,13,0,51,82
1341,Alejandra Sepúlveda Orbenes,Senador,11,11,0,16,26
1334,Alejandro Kusanovic Glusevic,Senador,12,12,0,23,44
1115,Alfonso De Urresti Longton,Senador,12,12,0,21,42
1501,Andrea Balladares Letelier,Senador,6,6,0,20,24
1512,Andrés Longton Herrera,Senador,6,6,0,17,24
1515,Arturo Squella Ovalle,Senador,16,16,0,23,64
1514,Beatriz Sánchez Muñoz,Senador,5,5,0,12,19
1508,Camila Flores Oporto,Senador,7,7,0,13,21
911,Carlos Ignacio Kuschel Silva,Senador,14,14,0,20,53
1338,Claudia Pascual Grau,Senador,5,5,0,14,18
1518,Cristian Vial Maceratta,Senador,23,23,0,24,89
1336,Daniel Núñez Arancibia,Senador,5,5,0,11,20
1507,Daniella Cicardini Milla,Senador,9,5,4,8,17
1500,Danisa Astudillo Peiretti,Senador,18,16,2,26,55
1509,Diego Ibáñez Cotroneo,Senador,5,5,0,15,18
1511,Enrique Lee Flores,Senador,10,9,1,17,30
1342,Enrique Van Rysselberghe Herrera,Senador,5,5,0,16,19
