project_id,boletin,titulo,fecha_ingreso,origen_iniciativa,tipo_iniciativa,tipo_iniciativa_codigo,camara_origen,camara_origen_codigo,admisible,estado_actual,source_url,updated_at
18950,18265-07,Modifica textos legales que indica en materia de procedencia de la prisión preventiva y penas sustitutivas a las privativas y restrictivas de libertad,2026-05-12,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18950&prmBOLETIN=18265-07,2026-09-02T15:25:59Z
18945,18266-15,Establece un número único de emergencias en concesiones viales,2026-05-12,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18945&prmBOLETIN=18266-15,2026-09-02T15:25:59Z
19144,18463-06,"Suspende la aplicación del mecanismo de actualización de escaños parlamentarios previsto en el artículo 189 de la ley N° 18.700, orgánica constitucional sobre Votaciones Populares y Escrutinios",2026-05-12,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19144&prmBOLETIN=18463-06,2026-09-02T15:26:00Z
18917,18253-25,"Modifica diversos cuerpos legales, con el objeto de fortalecer la protección y seguridad en los establecimientos de salud",2026-05-13,parlamentario,Moción,2,Senado,2,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18917&prmBOLETIN=18253-25,2026-09-02T15:26:00Z
18916,18254-11,"Modifica diversos cuerpos legales, con el objeto de aumentar las sanciones ante el incumplimiento del período de asignación obligatoria por parte de los profesionales del área de la salud que indica",2026-05-13,parlamentario,Moción,2,Senado,2,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18916&prmBOLETIN=18254-11,2026-09-02T15:26:00Z
18946,18267-24,"Modifica la ley N° 19.928, sobre fomento de la música chilena, para regular y proteger la participación de teloneros chilenos en conciertos de artistas extranjeros",2026-05-13,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18946&prmBOLETIN=18267-24,2026-09-02T15:26:00Z
18949,18268-06,Modifica textos legales que indica para fortalecer la transparencia activa y la rendición de cuentas en la ejecución de los aportes fiscales de libre disposición del royalty minero,2026-05-13,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18949&prmBOLETIN=18268-06,2026-09-02T15:26:00Z
18948,18269-01,"Establece medidas de prevención y control de riesgos asociados a perros salvajes o ferales, en la seguridad de las personas, el ganado y la fauna silvestre",2026-05-13,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18948&prmBOLETIN=18269-01,2026-09-02T15:26:00Z
18947,18270-25,"Regula la fabricación, acondicionamiento, importación, comercialización y uso de vehículos blindados de uso particular",2026-05-13,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18947&prmBOLETIN=18270-25,2026-09-02T15:26:00Z
18952,18271-07,Establece la obligación de declarar los aportes provenientes desde el extranjero para personas jurídicas sin fines de lucro,2026-05-13,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18952&prmBOLETIN=18271-07,2026-09-02T15:26:00Z
