diputado_id,diputado_nombre,opportunity_rollcalls,rollcalls_total,first_opportunity_date,last_opportunity_date,n_affirmative,n_against,n_abstention,n_no_vote,n_excused,n_substantive,substantive_participation_pct,n_binary,binary_participation_pct
1194,Daniel Bustos Leal,364,364,2026-03-18,2026-09-01,254,101,9,0,0,364,100.0000,355,97.5275
1195,Carlos Carvajal Gallardo,364,364,2026-03-18,2026-09-01,238,94,22,10,0,354,97.2527,332,91.2088
1196,Priscilla Castillo Gerli,364,364,2026-03-18,2026-09-01,262,90,12,0,0,364,100.0000,352,96.7033
1197,Carlos Chandía Alarcón,364,364,2026-03-18,2026-09-01,252,88,16,8,0,356,97.8022,340,93.4066
1198,Paz Charpentier Rajcevich,364,364,2026-03-18,2026-09-01,251,100,9,4,0,360,98.9011,351,96.4286
1199,Jaime Coloma Álamos,364,364,2026-03-18,2026-09-01,256,95,13,0,0,364,100.0000,351,96.4286
1200,Cristian Contreras Radovic,364,364,2026-03-18,2026-09-01,255,85,13,11,0,353,96.9780,340,93.4066
1201,Flor Contreras Vivallo,364,364,2026-03-18,2026-09-01,254,92,15,3,0,361,99.1758,346,95.0549
1202,Eduardo Cretton Rebolledo,364,364,2026-03-18,2026-09-01,251,100,13,0,0,364,100.0000,351,96.4286
1203,Sebastián Cristoffanini Jaraquemada,364,364,2026-03-18,2026-09-01,252,100,8,4,0,360,98.9011,352,96.7033
1204,Francisco Crisóstomo Llanos,364,364,2026-03-18,2026-09-01,212,135,17,0,0,364,100.0000,347,95.3297
1205,Carlos Cuadrado Prats,364,364,2026-03-18,2026-09-01,207,114,15,28,0,336,92.3077,321,88.1868
1206,Carolina Cucumides Calderón,364,364,2026-03-18,2026-09-01,214,138,12,0,0,364,100.0000,352,96.7033
1207,Valentina Cáceres Monsálvez,364,364,2026-03-18,2026-09-01,200,133,16,15,0,349,95.8791,333,91.4835
1208,Jorge Díaz Ibarra,364,364,2026-03-18,2026-09-01,259,77,12,16,0,348,95.6044,336,92.3077
1209,Matías Fernández Hartwig,364,364,2026-03-18,2026-09-01,201,148,15,0,0,364,100.0000,349,95.8791
1210,Gustavo Gatica Villarroel,364,364,2026-03-18,2026-09-01,183,154,17,10,0,354,97.2527,337,92.5824
1211,Sofía González Cortés,364,364,2026-03-18,2026-09-01,182,158,15,9,0,355,97.5275,340,93.4066
1212,Erich Grohs Marín,364,364,2026-03-18,2026-09-01,228,103,5,28,0,336,92.3077,331,90.9341
1213,Irací Hassler Jacob,364,364,2026-03-18,2026-09-01,190,157,17,0,0,364,100.0000,347,95.3297
1214,Constanza Hube Portus,364,364,2026-03-18,2026-09-01,245,101,18,0,0,364,100.0000,346,95.0549
1215,Álvaro Jofré Cáceres,364,364,2026-03-18,2026-09-01,249,108,7,0,0,364,100.0000,357,98.0769
1216,Stephanie Jéldrez Ortiz,364,364,2026-03-18,2026-09-01,249,99,8,8,0,356,97.8022,348,95.6044
1217,Pier Karlezi Hazleby,364,364,2026-03-18,2026-09-01,239,101,6,18,0,346,95.0549,340,93.4066
1218,José Antonio Kast Adriasola,364,364,2026-03-18,2026-09-01,254,100,9,1,0,363,99.7253,354,97.2527
