vote_id,fecha,boletin,diputado_id,diputado_nombre,opcion,opcion_codigo,party_at_vote,caucus_at_vote,alignment_at_vote,party_confidence,caucus_confidence,affiliation_confidence,party_basis,caucus_basis,affiliation_interval_from,affiliation_interval_to,affiliation_uncertain,uncertain_fields,uncertainty_window_start,uncertainty_window_end
88442,2026-03-18,16944-25,1150,Benjamín Moreno Bascur,Afirmativo,1,Partido Republicano,Comité Partido Republicano,oficialismo,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1152,Gloria Naveillan Arriagada,Afirmativo,1,Partido Nacional Libertario,Comité Partido Nacional Libertarios,no_alineado,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1153,Coca Ericka Ñanco Vásquez,No Vota,4,Frente Amplio,Frente Amplio,oposicion,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1157,Marlene Pérez Cartes,Afirmativo,1,Independientes,Unión Demócrata Independiente,oficialismo,high,medium,medium,bcn_biografia,independent_electoral_slot_plus_current_caucus_plus_size_closure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1159,Lorena Pizarro Sierra,Afirmativo,1,Partido Comunista,Comité Comunista e Independientes,oposicion,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1165,Agustín Romero Leiva,Afirmativo,1,Partido Republicano,Comité Partido Republicano,oficialismo,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1166,Natalia Romero Talguia,Afirmativo,1,Independientes,Unión Demócrata Independiente,oficialismo,high,medium,medium,bcn_biografia,independent_electoral_slot_plus_current_caucus_plus_size_closure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1170,Luis Sánchez Ossa,Afirmativo,1,Partido Republicano,Comité Partido Republicano,oficialismo,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1171,Emilia Schneider Videla,Afirmativo,1,Frente Amplio,Frente Amplio,oposicion,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1172,Stephan Schubert Rubio,Afirmativo,1,Partido Republicano,Comité Partido Republicano,oficialismo,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
