vote_id,boletin,fecha,sesion_id,sesion_numero,descripcion,articulo,total_si,total_no,total_abstencion,total_dispensado,tipo_votacion,tipo_votacion_codigo,resultado,resultado_codigo,quorum,quorum_codigo,tipo_votacion_proyecto,tipo_votacion_proyecto_codigo,tramite_constitucional,tramite_constitucional_codigo,tramite_reglamentario,tramite_reglamentario_codigo,verificado_sala,verification_url
89409,17012-14,2026-07-14,4799,43,Boletín N°17012-14,"Número 2 del artículo único del proyecto, en los términos sugeridos por la Comisión de Vivienda, cuya votación separada ha sido solicitada por la diputada Ana María Gazmuri y por el diputado José Antonio Rivas, y que consta en las páginas 8 a 10 del comparado, con la salvedad del inciso final del artículo 43 bis propuesto, cuya votación separada a su vez ha sido solicitada.",85,50,4,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Particular,2,Segundo Trámite,,Primer Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89409
89410,17012-14,2026-07-14,4799,43,Boletín N°17012-14,"Inciso final del artículo 43 bis contenido en el número 2 del artículo único del proyecto, en los términos propuestos por la Comisión de Vivienda, que coincide con el texto aprobado por el Senado, cuya votación separada ha sido solicitada por el diputado Álvaro Jofré, y que consta en la página 10 del comparado.",89,47,3,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Particular,2,Segundo Trámite,,Primer Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89410
89411,17012-14,2026-07-14,4799,43,Boletín N°17012-14,"Artículo transitorio del proyecto, propuesto por la Comisión de Vivienda, y que consta en la página 11 del comparado.",128,11,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Particular,2,Segundo Trámite,,Primer Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89411
89420,18401-31,2026-07-15,4800,44,Boletín N°18401-31,,121,0,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,General,1,Primer Trámite,,Primer Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89420
89421,18401-31,2026-07-15,4800,44,Boletín N°18401-31,"Artículo 2, con el inciso tercero propuesto por la Comisión de Hacienda, y que consta en las páginas 1 y 2 del comparado.",57,55,11,0,Proyecto de Ley,1,Unánime,2,Quórum Simple,1,Particular,2,Primer Trámite,,Primer Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89421
89422,18401-31,2026-07-15,4800,44,Boletín N°18401-31,"Artículo 2, en los términos propuestos por la Comisión de Desarrollo Social, Superación de la Pobreza y Planificación, y que consta en la página 1 del comparado.",120,2,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Particular,2,Primer Trámite,,Primer Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89422
89423,18401-31,2026-07-15,4800,44,Boletín N°18401-31,"Artículo 9, en los términos propuestos por la Comisión de Hacienda, y que consta en las páginas 6 y 7 del comparado.",105,1,17,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Particular,2,Primer Trámite,,Primer Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89423
89470,18216-05,2026-07-21,4802,46,Boletín N°18216-05,"Modificaciones incorporadas por el Senado en el proyecto de ley, originado en mensaje, “Para la reconstrucción nacional y el desarrollo económico y social.”, con la salvedad de las enmiendas que requieren quorum especial de aprobación y de aquellas cuya votación separada ha sido solicitada.",85,59,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89470
89471,18216-05,2026-07-21,4802,46,Boletín N°18216-05,"Enmiendas del Senado al artículo 1 del proyecto, cuya votación separada ha sido solicitada por el diputado Juan Valenzuela, y que constan en las páginas 2 a 5 del comparado.",133,11,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89471
89472,18216-05,2026-07-21,4802,46,Boletín N°18216-05,"Enmienda del Senado que reemplaza el artículo 5 del proyecto, cuya votación separada ha sido solicitada por las diputadas Serrano, Yeomans, Schneider, Gazmuri y Tello y de los diputados Leiva, Venegas, Malla, Soto, Díaz, Barría y Barraza; y que consta en las páginas 17 a 24 del comparado.",100,44,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89472
