diputado_id,diputado_nombre,group_type,scope,min_chamber_binary_minority_share,comparisons,matches,divergences,agreement_pct,group_names_observed
1222,Andrea Macías Palma,caucus,all,0.00,345,322,23,93.3333,"Socialista, Liberal, Radical e Independientes"
1222,Andrea Macías Palma,caucus,minority_ge_05,0.05,260,240,20,92.3077,"Socialista, Liberal, Radical e Independientes"
1222,Andrea Macías Palma,caucus,minority_ge_10,0.10,251,234,17,93.2271,"Socialista, Liberal, Radical e Independientes"
1222,Andrea Macías Palma,caucus,minority_ge_20,0.20,232,224,8,96.5517,"Socialista, Liberal, Radical e Independientes"
1222,Andrea Macías Palma,party,all,0.00,348,326,22,93.6782,Partido Socialista
1222,Andrea Macías Palma,party,minority_ge_05,0.05,263,244,19,92.7757,Partido Socialista
1222,Andrea Macías Palma,party,minority_ge_10,0.10,254,237,17,93.3071,Partido Socialista
1222,Andrea Macías Palma,party,minority_ge_20,0.20,236,228,8,96.6102,Partido Socialista
1223,Hans Marowski Cuevas,caucus,all,0.00,335,332,3,99.1045,Comité Partido Nacional Libertarios
1223,Hans Marowski Cuevas,caucus,minority_ge_05,0.05,250,249,1,99.6000,Comité Partido Nacional Libertarios
1223,Hans Marowski Cuevas,caucus,minority_ge_10,0.10,239,238,1,99.5816,Comité Partido Nacional Libertarios
1223,Hans Marowski Cuevas,caucus,minority_ge_20,0.20,220,219,1,99.5455,Comité Partido Nacional Libertarios
1223,Hans Marowski Cuevas,party,all,0.00,335,332,3,99.1045,Partido Nacional Libertario
1223,Hans Marowski Cuevas,party,minority_ge_05,0.05,250,249,1,99.6000,Partido Nacional Libertario
1223,Hans Marowski Cuevas,party,minority_ge_10,0.10,239,238,1,99.5816,Partido Nacional Libertario
1223,Hans Marowski Cuevas,party,minority_ge_20,0.20,220,219,1,99.5455,Partido Nacional Libertario
1224,Cristian Mella Andaur,caucus,all,0.00,359,346,13,96.3788,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
