diputado_id,diputado_nombre,authored_motions,coauthored_motions,solo_motions
1184,Roberto Celedón Fernández,4,4,0
1186,Ignacio Achurra Díaz,7,7,0
1187,Carlo Arqueros Pizarro,4,3,1
1188,Marcos Barraza Gómez,12,12,0
1189,Jaime Bassa Mercado,11,11,0
1190,Enrique Bassaletti Riess,13,13,0
1191,Valentina Becerra Peña,7,7,0
1192,Lilian Betancurt Delgado,11,11,0
1193,Patricio Briones Moller,39,37,2
1194,Daniel Bustos Leal,3,3,0
1195,Carlos Carvajal Gallardo,20,20,0
1196,Priscilla Castillo Gerli,7,7,0
1197,Carlos Chandía Alarcón,18,18,0
1198,Paz Charpentier Rajcevich,7,7,0
1199,Jaime Coloma Álamos,15,15,0
1200,Cristian Contreras Radovic,12,1,11
1201,Flor Contreras Vivallo,14,14,0
1202,Eduardo Cretton Rebolledo,14,14,0
1203,Sebastián Cristoffanini Jaraquemada,6,6,0
1204,Francisco Crisóstomo Llanos,5,5,0
1205,Carlos Cuadrado Prats,21,21,0
1206,Carolina Cucumides Calderón,15,15,0
1207,Valentina Cáceres Monsálvez,13,13,0
1208,Jorge Díaz Ibarra,14,14,0
1209,Matías Fernández Hartwig,11,11,0
1210,Gustavo Gatica Villarroel,10,10,0
1211,Sofía González Cortés,15,15,0
1212,Erich Grohs Marín,4,4,0
1213,Irací Hassler Jacob,13,13,0
1214,Constanza Hube Portus,4,4,0
1215,Álvaro Jofré Cáceres,13,13,0
1216,Stephanie Jéldrez Ortiz,6,6,0
1217,Pier Karlezi Hazleby,17,17,0
1218,José Antonio Kast Adriasola,6,6,0
1219,Tomás Kast Sommerhoff,19,19,0
1220,Leandro Kunstmann Collado,4,4,0
1221,Benjamín Lorca Inzunza,2,2,0
1222,Andrea Macías Palma,9,9,0
1223,Hans Marowski Cuevas,17,17,0
1224,Cristian Mella Andaur,18,18,0
1225,Cristian Menchaca Pinochet,2,2,0
1226,José Montalva Feuerhake,21,21,0
1227,Claudia Mora Vega,23,23,0
1228,Paulina Muñoz Minte,13,13,0
1229,Javier Muñoz Riquelme,8,8,0
1230,Alex Nahuelquin Nahuelquin,13,12,1
1231,Ximena Naranjo Pinto,20,20,0
1232,Cristian Neira Martínez,4,4,0
1233,Ricardo Neumann Bertín,13,13,0
1234,Mario Olavarría Rodríguez,22,21,1
1235,Javier Olivares Avendaño,23,22,1
1236,Paula Olmos Contreras,22,22,0
1237,Francisco Orrego Gutiérrez,25,25,0
1238,Álvaro Ortiz Vera,13,13,0
1239,Fabián Ossandón Briceño,14,14,0
1240,Zandra Parisi Fernández,17,16,1
1241,Patricio Pinilla Valencia,33,33,0
1242,Rodrigo Ramírez Parra,12,12,0
1243,Tamara Ramírez Ramírez,19,19,0
1244,Claudia Reyes Larenas,7,7,0
1245,Alejandro Riquelme Ducci,5,5,0
1246,José Antonio Rivas Villalobos,16,15,1
1247,Javiera Rodríguez Pascual,12,12,0
1248,Felipe Ross Correa,5,5,0
1249,Omar Sabat Guzmán,17,17,0
1250,Bernardo Salinas Maya,11,11,0
1251,Macarena Santelices Cañas,15,15,0
1252,Constanza Schonhaut Soto,7,7,0
1253,Fernando Ugarte Tejeda,5,5,0
1254,Ignacio Urcullú Clèment-Lund,4,4,0
1255,Eileen Urqueta Rojas,16,15,1
1256,Tatiana Urrutia Herrera,9,9,0
1257,Alejandra Valdebenito Torres,18,18,0
1258,Guillermo Valdés Carmona,11,10,1
1259,Juan Marcelo Valenzuela Henríquez,16,16,0
1260,César Valenzuela Maass,11,11,0
1261,Daniel Valenzuela Salazar,25,24,1
1262,Diego Vergara Rodríguez,4,4,0
1263,Sebastián Zamora Soto,9,9,0
1264,Fernando Zamorano Peralta,14,14,0
