"spec_id","diputado_id","diputado_nombre","binary_votes_selected","dimension_1_raw","dimension_2_raw","se_1d","se_2d","gmp","correctly_classified"
"raw_lop025_2d","1159","Lorena Pizarro Sierra",257,0.912493646144867,0.409091085195541,0,0,0.949257135391235,0.988326848249027
"raw_lop025_2d","1165","Agustín Romero Leiva",270,-0.987456500530243,0.157891467213631,0,0,0.983271718025208,0.996296296296296
"raw_lop025_2d","1166","Natalia Romero Talguia",265,-0.616777241230011,-0.430466026067734,0,0,0.869378566741943,0.943396226415094
"raw_lop025_2d","1170","Luis Sánchez Ossa",259,-0.985438585281372,0.170031979680061,0,0,0.98382180929184,0.996138996138996
"raw_lop025_2d","1171","Emilia Schneider Videla",267,0.766381621360779,0.0747629925608635,0,0,0.958246886730194,0.99250936329588
"raw_lop025_2d","1172","Stephan Schubert Rubio",224,-0.973643600940704,0.218965113162994,0,0,0.983318269252777,0.995535714285714
"raw_lop025_2d","1173","Daniela Serrano Salazar",267,0.948211789131165,0.317638695240021,0,0,0.971037566661835,0.98501872659176
"raw_lop025_2d","1174","Marco Antonio Sulantay Olivares",261,-0.853472411632538,0.00291553279384971,0,0,0.964231133460999,0.992337164750958
"raw_lop025_2d","1175","Cristián Tapia Ramos",224,0.328374922275543,-0.142319470643997,0,0,0.783797562122345,0.90625
"raw_lop025_2d","1176","Hotuiti Teao Drago",220,-0.805324971675873,0.00971344113349915,0,0,0.938921809196472,0.972727272727273
"raw_lop025_2d","1177","Carolina Tello Rojas",263,0.759190440177917,0.006430275272578,0,0,0.943183660507202,0.988593155893536
"raw_lop025_2d","1178","Héctor Ulloa Aguilera",241,0.357114404439926,-0.0799247398972511,0,0,0.848581850528717,0.929460580912863
"raw_lop025_2d","1180","Consuelo Veloso Ávila",262,0.731102645397186,-0.0258744861930609,0,0,0.945405662059784,0.988549618320611
"raw_lop025_2d","1181","Nelson Venegas Salazar",258,0.630893766880035,-0.0678210556507111,0,0,0.895667374134064,0.972868217054264
"raw_lop025_2d","1182","Sebastián Videla Castillo",255,0.289221972227097,-0.348862648010254,0,0,0.801161885261536,0.925490196078431
"raw_lop025_2d","1183","Flor Weisse Novoa",193,-0.801013112068176,-0.0888242721557617,0,0,0.93827497959137,0.968911917098446
"raw_lop025_2d","1184","Roberto Celedón Fernández",265,0.715396106243134,0.126486584544182,0,0,0.949126243591309,0.992452830188679
"raw_lop025_2d","1186","Ignacio Achurra Díaz",265,0.746186971664429,0.0540733672678471,0,0,0.959896564483643,0.99622641509434
"raw_lop025_2d","1187","Carlo Arqueros Pizarro",268,-0.987167239189148,0.159689664840698,0,0,0.983705759048462,0.996268656716418
"raw_lop025_2d","1188","Marcos Barraza Gómez",267,0.91398948431015,0.4057377576828,0,0,0.970876753330231,0.99250936329588
"raw_lop025_2d","1189","Jaime Bassa Mercado",261,0.791270911693573,0.0945387557148933,0,0,0.917237997055054,0.984674329501916
"raw_lop025_2d","1190","Enrique Bassaletti Riess",271,-0.987426102161407,0.158081620931625,0,0,0.983334124088287,0.996309963099631
"raw_lop025_2d","1191","Valentina Becerra Peña",264,-0.987673044204712,0.156531184911728,0,0,0.982945561408997,0.996212121212121
"raw_lop025_2d","1192","Lilian Betancurt Delgado",161,-0.109822735190392,0.993951141834259,0,0,0.823541283607483,0.944099378881988
"raw_lop025_2d","1193","Patricio Briones Moller",262,-0.0707464590668678,0.896893203258514,0,0,0.841986119747162,0.908396946564885
"raw_lop025_2d","1194","Daniel Bustos Leal",271,-0.987426042556763,0.158081755042076,0,0,0.983334124088287,0.996309963099631
"raw_lop025_2d","1195","Carlos Carvajal Gallardo",249,0.340937107801437,-0.0825787633657455,0,0,0.849587619304657,0.931726907630522
"raw_lop025_2d","1196","Priscilla Castillo Gerli",265,0.201898723840714,-0.790627419948578,0,0,0.839349091053009,0.916981132075472
"raw_lop025_2d","1197","Carlos Chandía Alarcón",254,-0.724284052848816,-0.263980805873871,0,0,0.899473190307617,0.956692913385827
"raw_lop025_2d","1198","Paz Charpentier Rajcevich",270,-0.987609386444092,0.156932473182678,0,0,0.983285069465637,0.996296296296296
"raw_lop025_2d","1199","Jaime Coloma Álamos",264,-0.857171833515167,-0.109743140637875,0,0,0.957728743553162,0.977272727272727
"raw_lop025_2d","1200","Cristian Contreras Radovic",260,-0.471216946840286,-0.048804335296154,0,0,0.713721692562103,0.888461538461538
"raw_lop025_2d","1201","Flor Contreras Vivallo",261,-0.0658857822418213,0.56460702419281,0,0,0.820161938667297,0.919540229885057
"raw_lop025_2d","1202","Eduardo Cretton Rebolledo",266,-0.902981460094452,-0.273242264986038,0,0,0.958969831466675,0.984962406015038
"raw_lop025_2d","1203","Sebastián Cristoffanini Jaraquemada",268,-0.987167239189148,0.159689605236053,0,0,0.983705759048462,0.996268656716418
"raw_lop025_2d","1204","Francisco Crisóstomo Llanos",262,0.589642107486725,0.0453935787081718,0,0,0.930538356304169,0.99236641221374
"raw_lop025_2d","1205","Carlos Cuadrado Prats",242,0.478488713502884,-0.126146048307419,0,0,0.906445920467377,0.954545454545455
"raw_lop025_2d","1206","Carolina Cucumides Calderón",267,0.606793403625488,0.110387541353703,0,0,0.930964231491089,0.98501872659176
"raw_lop025_2d","1207","Valentina Cáceres Monsálvez",249,0.703552663326263,0.0495936200022697,0,0,0.946406364440918,0.983935742971888
"raw_lop025_2d","1208","Jorge Díaz Ibarra",255,0.236066997051239,-0.809753179550171,0,0,0.880852043628693,0.96078431372549
"raw_lop025_2d","1209","Matías Fernández Hartwig",266,0.752231001853943,0.0886949375271797,0,0,0.954318046569824,0.992481203007519
"raw_lop025_2d","1210","Gustavo Gatica Villarroel",263,0.927265167236328,0.374405115842819,0,0,0.962058186531067,0.980988593155893
"raw_lop025_2d","1211","Sofía González Cortés",265,0.952163636684418,0.305588692426682,0,0,0.975386202335358,0.992452830188679
"raw_lop025_2d","1212","Erich Grohs Marín",264,-0.94525533914566,-0.326331555843353,0,0,0.966407358646393,0.984848484848485
"raw_lop025_2d","1213","Irací Hassler Jacob",267,0.913989365100861,0.405737996101379,0,0,0.970876753330231,0.99250936329588
"raw_lop025_2d","1214","Constanza Hube Portus",264,-0.918249249458313,-0.246751040220261,0,0,0.960660219192505,0.988636363636364
"raw_lop025_2d","1215","Álvaro Jofré Cáceres",275,-0.944661855697632,-0.328045606613159,0,0,0.951632022857666,0.981818181818182
"raw_lop025_2d","1216","Stephanie Jéldrez Ortiz",269,-0.987535059452057,0.157398954033852,0,0,0.983234107494354,0.996282527881041
"raw_lop025_2d","1217","Pier Karlezi Hazleby",258,-0.939610660076141,-0.342245250940323,0,0,0.951947689056396,0.98062015503876
"raw_lop025_2d","1218","José Antonio Kast Adriasola",270,-0.987482666969299,0.157727658748627,0,0,0.983227372169495,0.996296296296296
"raw_lop025_2d","1219","Tomás Kast Sommerhoff",260,-0.781663477420807,0.00458622490987182,0,0,0.937682747840881,0.973076923076923
"raw_lop025_2d","1220","Leandro Kunstmann Collado",270,-0.987466096878052,0.157831341028214,0,0,0.983269095420837,0.996296296296296
"raw_lop025_2d","1221","Benjamín Lorca Inzunza",268,-0.987463235855103,0.157849207520485,0,0,0.983399271965027,0.996268656716418
"raw_lop025_2d","1222","Andrea Macías Palma",254,0.741977214813232,0.19410540163517,0,0,0.944789171218872,0.976377952755906
