"spec_id","diputado_id","diputado_nombre","dimension_1_aligned","dimension_2_aligned","dimension_2_predicted_by_quadratic","dimension_2_residual_after_quadratic","modal_party","modal_caucus","modal_alignment"
"raw_lop025_2d","1204","Francisco Crisóstomo Llanos",0.589642107486725,0.0453935787081718,0.0545557144115791,-0.00916213570340731,"Partido Socialista","Socialista, Liberal, Radical e Independientes","oposicion"
"raw_lop025_2d","1205","Carlos Cuadrado Prats",0.478488713502884,-0.126146048307419,0.0225090836039146,-0.148655131911334,"Partido Por la Democracia","Partido Por la Democracia e Independientes","oposicion"
"raw_lop025_2d","1206","Carolina Cucumides Calderón",0.606793403625488,0.110387541353703,0.0599032644452707,0.0504842769084323,"Independientes","Socialista, Liberal, Radical e Independientes","oposicion"
"raw_lop025_2d","1207","Valentina Cáceres Monsálvez",0.703552663326263,0.0495936200022697,0.0920883058556067,-0.042494685853337,"Independientes","Frente Amplio","oposicion"
"raw_lop025_2d","1208","Jorge Díaz Ibarra",0.236066997051239,-0.809753179550171,-0.0316996596950261,-0.778053519855145,"Partido Demócrata Cristiano","Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes","oposicion"
"raw_lop025_2d","1209","Matías Fernández Hartwig",0.752231001853943,0.0886949375271797,0.109575610191992,-0.0208806726648119,"Frente Amplio","Frente Amplio","oposicion"
"raw_lop025_2d","1210","Gustavo Gatica Villarroel",0.927265167236328,0.374405115842819,0.179620177361337,0.194784938481482,"Independientes","Comité Comunista e Independientes","oposicion"
"raw_lop025_2d","1211","Sofía González Cortés",0.952163636684418,0.305588692426682,0.190494829707251,0.115093862719431,"Partido Comunista","Comité Comunista e Independientes","oposicion"
"raw_lop025_2d","1212","Erich Grohs Marín",-0.94525533914566,-0.326331555843353,0.0118921312311079,-0.338223687074461,"Partido Nacional Libertario","Comité Partido Nacional Libertarios","no_alineado"
"raw_lop025_2d","1213","Irací Hassler Jacob",0.913989365100861,0.405737996101379,0.173914572020065,0.231823424081314,"Partido Comunista","Comité Comunista e Independientes","oposicion"
"raw_lop025_2d","1214","Constanza Hube Portus",-0.918249249458313,-0.246751040220261,0.00519149782528477,-0.251942538045546,"Unión Demócrata Independiente","Unión Demócrata Independiente","oficialismo"
"raw_lop025_2d","1215","Álvaro Jofré Cáceres",-0.944661855697632,-0.328045606613159,0.0117420104357179,-0.339787617048877,"Partido Nacional Libertario","Comité Partido Nacional Libertarios","no_alineado"
"raw_lop025_2d","1216","Stephanie Jéldrez Ortiz",-0.987535059452057,0.157398954033852,0.0229184051462858,0.134480548887566,"Partido Republicano","Comité Partido Republicano","oficialismo"
"raw_lop025_2d","1217","Pier Karlezi Hazleby",-0.939610660076141,-0.342245250940323,0.0104695348222787,-0.352714785762602,"Partido Nacional Libertario","Comité Partido Nacional Libertarios","no_alineado"
"raw_lop025_2d","1218","José Antonio Kast Adriasola",-0.987482666969299,0.157727658748627,0.0229043367100602,0.134823322038567,"Partido Republicano","Comité Partido Republicano","oficialismo"
"raw_lop025_2d","1219","Tomás Kast Sommerhoff",-0.781663477420807,0.00458622490987182,-0.0246090439195354,0.0291952688294072,"Evolución Política","Renovación Nacional, Evopoli e Independientes","oficialismo"
"raw_lop025_2d","1220","Leandro Kunstmann Collado",-0.987466096878052,0.157831341028214,0.0228998875161143,0.1349314535121,"Partido Republicano","Comité Partido Republicano","oficialismo"
"raw_lop025_2d","1221","Benjamín Lorca Inzunza",-0.987463235855103,0.157849207520485,0.0228991193201377,0.134950088200347,"Partido Republicano","Comité Partido Republicano","oficialismo"
"raw_lop025_2d","1222","Andrea Macías Palma",0.741977214813232,0.19410540163517,0.105819926166955,0.0882854754682148,"Partido Socialista","Socialista, Liberal, Radical e Independientes","oposicion"
"raw_lop025_2d","1223","Hans Marowski Cuevas",-0.947955667972565,-0.318402230739594,0.0125768030508918,-0.330979033790486,"Partido Nacional Libertario","Comité Partido Nacional Libertarios","no_alineado"
"raw_lop025_2d","1224","Cristian Mella Andaur",0.247471153736115,-0.773371636867523,-0.0296316048322499,-0.743740032035273,"Partido Demócrata Cristiano","Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes","oposicion"
"raw_lop025_2d","1225","Cristian Menchaca Pinochet",-0.987863659858704,0.155323848128319,0.0230066638777071,0.132317184250612,"Independientes","Comité Partido Republicano","oficialismo"
"raw_lop025_2d","1226","José Montalva Feuerhake",0.371581017971039,-0.2097999304533,-0.00404780559092927,-0.205752124862371,"Independientes","Partido Por la Democracia e Independientes","oposicion"
"raw_lop025_2d","1227","Claudia Mora Vega",-0.751391232013702,-0.300608843564987,-0.030289645775423,-0.270319197789564,"Renovación Nacional","Renovación Nacional, Evopoli e Independientes","oficialismo"
"raw_lop025_2d","1228","Paulina Muñoz Minte",-0.946697294712067,-0.322124511003494,0.0122574088875154,-0.334381919891009,"Partido Nacional Libertario","Comité Partido Nacional Libertarios","no_alineado"
"raw_lop025_2d","1229","Javier Muñoz Riquelme",0.233537435531616,-0.82736748456955,-0.0321519266574947,-0.795215557912055,"Partido Demócrata Cristiano","Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes","oposicion"
"raw_lop025_2d","1230","Alex Nahuelquin Nahuelquin",-0.078375019133091,0.772102892398834,-0.0699733618379547,0.842076254236789,"Partido de la Gente","Comité Partido de la Gente","no_alineado"
"raw_lop025_2d","1231","Ximena Naranjo Pinto",-0.763655602931976,-0.106847628951073,-0.0280286422079143,-0.0788189867431587,"Independientes","Unión Demócrata Independiente","oficialismo"
"raw_lop025_2d","1232","Cristian Neira Martínez",-0.987164914608002,0.15970379114151,0.0228190353259151,0.136884755815595,"Partido Republicano","Comité Partido Republicano","oficialismo"
"raw_lop025_2d","1233","Ricardo Neumann Bertín",-0.87036007642746,-0.18184632062912,-0.00603427219398009,-0.17581204843514,"Unión Demócrata Independiente","Unión Demócrata Independiente","oficialismo"
