"diputado_id","spec_id","diputado_nombre","binary_votes_selected","dimension_1_raw","dimension_2_raw","se_1d","se_2d","gmp","correctly_classified","dimension_1_aligned","dimension_2_aligned","modal_party","modal_party_share","modal_caucus","modal_caucus_share","modal_alignment","modal_alignment_share"
"1099","raw_lop025_2d","Jaime Araya Guerrero",230,0.435773193836212,-0.129405915737152,0,0,0.91277939081192,0.98695652173913,0.435773193836212,-0.129405915737152,"Independientes",1,"Partido Por la Democracia e Independientes",1,"oposicion",1
"1099","cap20_balanced_lop025_2d","Jaime Araya Guerrero",126,0.472451686859131,-0.142777383327484,0,0,0.907079935073853,0.968253968253968,0.31550676938887,-0.10833315622625,"Independientes",1,"Partido Por la Democracia e Independientes",1,"oposicion",1
"1099","raw_lop050_2d","Jaime Araya Guerrero",223,0.40206852555275,-0.116064682602882,0,0,0.910733163356781,0.986547085201794,0.42503904114533,-0.11323539011093,"Independientes",1,"Partido Por la Democracia e Independientes",1,"oposicion",1
"1100","raw_lop050_2d","Cristián Araya Lerdo de Tejada",263,-0.988815009593964,0.149147137999535,0,0,0.979050159454346,0.992395437262357,-0.974649006724551,0.153929156891532,"Partido Republicano",1,"Comité Partido Republicano",1,"oficialismo",1
"1100","raw_lop025_2d","Cristián Araya Lerdo de Tejada",268,-0.987650632858276,0.156672537326813,0,0,0.983246266841888,0.996268656716418,-0.987650632858276,0.156672537326813,"Partido Republicano",1,"Comité Partido Republicano",1,"oficialismo",1
"1100","cap20_balanced_lop025_2d","Cristián Araya Lerdo de Tejada",162,-0.787021398544312,-0.231451526284218,0,0,0.974508106708527,1,-0.862124325909412,-0.215360625632225,"Partido Republicano",1,"Comité Partido Republicano",1,"oficialismo",1
"1102","raw_lop050_2d","Roberto Arroyo Muñoz",217,-0.702664434909821,-0.0464200787246227,0,0,0.890775918960571,0.944700460829493,-0.68671384619379,-0.0429374889525928,"Partido Social Cristiano",0.923076923076923,"Por definir",0.923076923076923,"oficialismo",0.923076923076923
"1102","raw_lop025_2d","Roberto Arroyo Muñoz",222,-0.686586737632751,-0.0616929642856121,0,0,0.891993343830109,0.945945945945946,-0.686586737632751,-0.0616929642856121,"Partido Social Cristiano",0.923076923076923,"Por definir",0.923076923076923,"oficialismo",0.923076923076923
"1102","cap20_balanced_lop025_2d","Roberto Arroyo Muñoz",122,-0.610100626945496,-0.148905754089355,0,0,0.849869191646576,0.934426229508197,-0.698035470538054,-0.134697201260355,"Partido Social Cristiano",0.923076923076923,"Por definir",0.923076923076923,"oficialismo",0.923076923076923
"1104","cap20_balanced_lop025_2d","Chiara Barchiesi Chávez",152,-0.781394779682159,-0.218354493379593,0,0,0.98082309961319,1,-0.857105318920534,-0.202989881056499,"Partido Republicano",1,"Comité Partido Republicano",1,"oficialismo",1
"1104","raw_lop025_2d","Chiara Barchiesi Chávez",259,-0.988360941410065,0.152127578854561,0,0,0.98733377456665,1,-0.988360941410065,0.152127578854561,"Partido Republicano",1,"Comité Partido Republicano",1,"oficialismo",1
"1104","raw_lop050_2d","Chiara Barchiesi Chávez",253,-0.986963093280792,0.14682449400425,0,0,0.983268737792969,0.99604743083004,-0.972785741721449,0.15159137415369,"Partido Republicano",1,"Comité Partido Republicano",1,"oficialismo",1
"1105","raw_lop025_2d","Héctor Barría Angulo",247,0.278631538152695,-0.856931746006012,0,0,0.865060269832611,0.967611336032389,0.278631538152695,-0.856931746006012,"Partido Demócrata Cristiano",1,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",1,"oposicion",1
"1105","raw_lop050_2d","Héctor Barría Angulo",242,0.241050347685814,-0.884434998035431,0,0,0.872632265090942,0.962809917355372,0.262849759214296,-0.886466854763829,"Partido Demócrata Cristiano",1,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",1,"oposicion",1
