"vote_id","boletin","fecha","spec_id","spread_1d","spread_2d","midpoint_1d","midpoint_2d","gmp","apre","weighted_spread_1","weighted_spread_2","relative_dim2_loading","topic_primary","topic_secondary","topic_method","topic_confidence","topic_source_layer","taxonomy_version","tipo_votacion_proyecto","resultado"
"89306","16743-04","2026-07-07","raw_lop025_2d",-0.314937829971313,-0.471616119146347,-0.0792806074023247,-0.0816131085157394,0.895183324813843,0.951612903225806,-0.200478615553834,-0.237259630153208,0.763829860949556,"Educación","Economía y hacienda","institucional_destinacion",0.97,"inherited_rollcall_project","institutional-hybrid-v0.3","Particular","Unánime"
"89158","16857-07","2026-06-16","raw_lop025_2d",-0.401311784982681,0.591896057128906,0.0610827803611755,0.213232919573784,0.905706107616425,0.947368421052632,-0.255461311415317,0.297769804513337,0.758966795775529,"Seguridad","Constitución y justicia","institucional_trayectoria",0.94,"inherited_rollcall_project","institutional-hybrid-v0.3","Particular","Unánime"
"89314","14767-03","2026-07-07","raw_lop025_2d",-0.662284433841705,0.959374904632568,0.0942146480083466,0.18446758389473,0.980837464332581,0.983333333333333,-0.421587544473567,0.482640278418387,0.753135301086447,"Economía, comercio y consumidores","","institucional_destinacion",0.97,"inherited_rollcall_project","institutional-hybrid-v0.3","Particular","Unánime"
"88705","18156-04","2026-04-21","raw_lop025_2d",-0.34540867805481,-0.491146743297577,0.0263169705867767,-0.0750696882605553,0.929034769535065,0.951612903225806,-0.219875311844931,-0.24708505484643,0.74704266298998,"Educación","","institucional_destinacion",0.97,"period_project","institutional-hybrid-v0.3","Particular","Unánime"
"88871","18155-25","2026-05-13","raw_lop025_2d",0.349661141633987,0.495543301105499,0.0967094823718071,0.0239214971661568,0.937807500362396,0.918367346938776,0.222582284237305,0.249296865760236,0.745943909590126,"Seguridad","Constitución y justicia","institucional_destinacion",0.97,"period_project","institutional-hybrid-v0.3","Particular","Aprobado"
"89355","18384-08","2026-07-08","raw_lop025_2d",-0.708637058734894,0.851848602294922,0.105789199471474,0.286929577589035,0.969192266464233,0.982142857142857,-0.451094034902866,0.428546175844986,0.688755242444897,"Minería y energía","","institucional_destinacion",0.97,"period_project","institutional-hybrid-v0.3","Particular","Unánime"
"88706","18156-04","2026-04-21","raw_lop025_2d",0.338097333908081,0.376548856496811,-0.0756072327494621,-0.0795558616518974,0.895420014858246,0.938461538461538,0.215221161047907,0.189433394661652,0.660704104242711,"Educación","","institucional_destinacion",0.97,"period_project","institutional-hybrid-v0.3","Particular","Aprobado"
"89495","18216-05","2026-07-21","raw_lop025_2d",0.382597148418427,0.387063801288605,-0.101892247796059,-0.119682356715202,0.927743256092072,0.968253968253968,0.243548215966172,0.194723230634388,0.624469474213026,"Economía y hacienda","Trabajo y seguridad social | Desarrollo social | Infraestructura y obras públicas","revision_semantica",0.91,"period_project","institutional-hybrid-v0.3","Única","Aprobado"
"89669","18216-05","2026-08-10","raw_lop025_2d",0.529492616653442,-0.534185886383057,-0.117339059710503,-0.195801511406898,0.968539535999298,0.982758620689655,0.337056830366578,-0.268737095046106,0.623409316907173,"Economía y hacienda","Trabajo y seguridad social | Desarrollo social | Infraestructura y obras públicas","revision_semantica",0.91,"period_project","institutional-hybrid-v0.3","Única","Aprobado"
"89585","18258-07","2026-08-04","raw_lop025_2d",0.274441570043564,0.271861702203751,0.106418520212173,0.0560186803340912,0.815019905567169,0.666666666666667,0.174700086101964,0.136767604623938,0.616436268005826,"Seguridad","Constitución y justicia","hibrido_institucional_texto",0.87,"period_project","institutional-hybrid-v0.3","Particular","Aprobado"
"89934","17662-07","2026-09-01","raw_lop025_2d",-1.18559372425079,1.16598927974701,0.185593768954277,0.260741174221039,0.997912168502808,1,-0.754708281532144,0.586583397056317,0.613672059091651,"Seguridad","Constitución y justicia","institucional_trayectoria",0.94,"inherited_rollcall_project","institutional-hybrid-v0.3","Particular","Unánime"
"89160","16857-07","2026-06-16","raw_lop025_2d",-1.17683124542236,1.15537285804749,0.17683120071888,0.194174006581306,0.998285531997681,1,-0.749130388192041,0.581242510297531,0.61301070263012,"Seguridad","Constitución y justicia","institucional_trayectoria",0.94,"inherited_rollcall_project","institutional-hybrid-v0.3","Particular","Unánime"
"89780","17912-25","2026-08-17","raw_lop025_2d",-0.636089086532593,0.603715896606445,-0.324459791183472,-0.127778768539429,0.967173099517822,0.980769230769231,-0.404912485262799,0.303716104118166,0.600040132253295,"Seguridad","","institucional_destinacion",0.97,"inherited_rollcall_project","institutional-hybrid-v0.3","Particular","Unánime"
"88703","18156-04","2026-04-21","raw_lop025_2d",-1.1836895942688,1.12118637561798,0.183689549565315,0.244988441467285,0.99790221452713,1,-0.753496177725311,0.564044047717104,0.599266686748598,"Educación","","institucional_destinacion",0.97,"period_project","institutional-hybrid-v0.3","Particular","Unánime"
